earlier_period,later_period,contrast,slope_bin,slope_label,selection_ratio_earlier,selection_ratio_later,ratio_of_selection_ratios,log2_difference,log2_ci_low,log2_boot_median,log2_ci_high,ratio_of_ratios_ci_low,ratio_of_ratios_ci_high,bootstrap_sign_p,difference_supported,p_fdr_bh,direction
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,00_03,0–3%,0.8654525644239347,0.8956862607533582,1.034933972781683,0.04953872890431508,-0.06338622902848955,0.0466856196752917,0.17165839310146835,0.9570152179443071,1.1263524948295685,0.404,False,0.45450000000000007,diferença não conclusiva
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,03_06,>3–6%,1.3836482819975289,1.4437053075491275,1.043404835125366,0.0612990239251265,0.01864733202835139,0.06119174898846913,0.10232735541301154,1.0130092389606022,1.0735038426666692,0.009333333333333334,True,0.014000000000000002,seleção mais forte no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,06_09,>6–9%,1.4718368281173944,1.3406440631304475,0.9108645996073127,-0.13469148212583196,-0.2517448460683714,-0.13146731072230924,-0.02597661579020558,0.8398800203418093,0.9821555145975696,0.021333333333333333,True,0.025599999999999998,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,09_12,>9–12%,0.8304438850278071,0.6506168086434909,0.7834566794620991,-0.3520745905188763,-0.5313235065364642,-0.3472157278798643,-0.18160203638749295,0.6919196861886856,0.8817233454178468,0.0,True,0.0,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,12_20,>12–20%,0.21326693205927802,0.16288398316343405,0.7637563948177399,-0.3888155404362339,-0.5974960799822853,-0.3871258945276836,-0.16844913362385935,0.6609000087704003,0.8897986818254985,0.0013333333333333333,True,0.0024,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,gt_20,>20%,0.028894981444485,0.018938094072970514,0.6554111865188654,-0.6095277979640229,-0.9715936412264942,-0.6095423698283398,-0.25333931092000833,0.5099424549475488,0.838952298690265,0.0,True,0.0,seleção mais fraca no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,00_03,0–3%,0.8956862607533582,1.059770973739796,1.183194406541892,0.24268713733887787,0.14471859131586634,0.24180616136295496,0.3479883271841203,1.1055149931467536,1.2727846371599816,0.0,True,0.0,seleção mais forte no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,03_06,>3–6%,1.4437053075491275,1.4286526819879304,0.9895736162480757,-0.01512105881669224,-0.060290641536450654,-0.014669866682183341,0.029879627610175246,0.9590708879713539,1.0209269403152204,0.544,False,0.544,diferença não conclusiva
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,06_09,>6–9%,1.3406440631304475,1.0774221674510476,0.8036601191036731,-0.31534260362784317,-0.42966154763783176,-0.3126120946273261,-0.20621199075970137,0.7424359383528086,0.8668101843766401,0.0,True,0.0,seleção mais fraca no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,09_12,>9–12%,0.6506168086434909,0.47139539289531357,0.724536142676906,-0.46487043607800665,-0.6399021365384643,-0.46009767809863605,-0.2946535244199694,0.6417564800744402,0.8152681025165827,0.0,True,0.0,seleção mais fraca no período posterior
