geocode,municipio,uf,cidade_uf_seeg,muni_key
5200050,Abadia de Goiás,GO,Abadia de Goiás (GO),ABADIA DE GOIAS|GO
5200100,Abadiânia,GO,Abadiânia (GO),ABADIANIA|GO
5200134,Acreúna,GO,Acreúna (GO),ACREUNA|GO
5200159,Adelândia,GO,Adelândia (GO),ADELANDIA|GO
5200308,Alexânia,GO,Alexânia (GO),ALEXANIA|GO
5200506,Aloândia,GO,Aloândia (GO),ALOANDIA|GO
5200555,Alto Horizonte,GO,Alto Horizonte (GO),ALTO HORIZONTE|GO
5200605,Alto Paraíso de Goiás,GO,Alto Paraíso de Goiás (GO),ALTO PARAISO DE GOIAS|GO
5200803,Alvorada do Norte,GO,Alvorada do Norte (GO),ALVORADA DO NORTE|GO
5200829,Amaralina,GO,Amaralina (GO),AMARALINA|GO
5200852,Americano do Brasil,GO,Americano do Brasil (GO),AMERICANO DO BRASIL|GO
5200902,Amorinópolis,GO,Amorinópolis (GO),AMORINOPOLIS|GO
5201207,Anhanguera,GO,Anhanguera (GO),ANHANGUERA|GO
5201306,Anicuns,GO,Anicuns (GO),ANICUNS|GO
5201108,Anápolis,GO,Anápolis (GO),ANAPOLIS|GO
5201405,Aparecida de Goiânia,GO,Aparecida de Goiânia (GO),APARECIDA DE GOIANIA|GO
5201454,Aparecida do Rio Doce,GO,Aparecida do Rio Doce (GO),APARECIDA DO RIO DOCE|GO
5201504,Aporé,GO,Aporé (GO),APORE|GO
5201702,Aragarças,GO,Aragarças (GO),ARAGARCAS|GO
5201801,Aragoiânia,GO,Aragoiânia (GO),ARAGOIANIA|GO
5202155,Araguapaz,GO,Araguapaz (GO),ARAGUAPAZ|GO
5201603,Araçu,GO,Araçu (GO),ARACU|GO
5202353,Arenópolis,GO,Arenópolis (GO),ARENOPOLIS|GO
5202502,Aruanã,GO,Aruanã (GO),ARUANA|GO
5202601,Aurilândia,GO,Aurilândia (GO),AURILANDIA|GO
5202809,Avelinópolis,GO,Avelinópolis (GO),AVELINOPOLIS|GO
