cd_ibge,uf,nm_mun,n_usinas,neea_2022,neea_2023,neea_2025,vol_2022,vol_2023,vol_2025,log_pib_pc,log_pop,log_area_total,densidade_pop,share_vadc_ind,share_vadc_serv,pess_ocup_per_est,share_est_af,share_area_af,natveg_share,trator_per_est,share_est_at,share_est_fin_total,share_est_energia,ivs_infra,ivs_renda_t,idhm_educ,gini,share_pop_agua,uai_housing,uai_environ,uai_food,uai_mobility,uai_climate,uai_total
3103751,MG,Araporã,1,66.0,59.16,59.16,95.49,92.8,92.8,12.076123400774788,8.820994645747902,4.986137662495856,46.59833528238289,0.7462342935056232,0.1626496741792668,8.726415094339623,0.5188679245283019,0.06858852044763035,0.08323588085574742,1.971698113207547,0.14150943396226415,0.0660377358490566,0.92,0.002,0.222,0.646,0.41,0.9743135518157662,1.0,0.38,0.25,0.6,0.4,0.53
3105103,MG,Bambuí,1,65.4,62.05,62.05,98.05,99.19,99.19,9.99706896615766,10.086600462793985,7.284580828881137,16.488518175265163,0.1428606535722843,0.42700916033348285,2.997377049180328,0.658360655737705,0.31796804117984706,0.29320701609858235,0.35672131147540986,0.23475409836065575,0.12721311475409836,0.92,0.232,0.224,0.636,0.49,0.8196352735448413,0.67,0.38,0.25,0.6,0.2,0.42
3111408,MG,Campo Florido,1,51.7,54.18,55.95,95.62,94.86,93.93,11.06790318711361,8.97297111339799,6.454199636906245,12.431328966762038,0.2573491479555161,0.24819654107996109,5.115864527629234,0.6131907308377896,0.07934630794482561,0.16678095418252897,0.9518716577540107,0.5026737967914439,0.12299465240641712,0.94,0.195,0.305,0.558,0.52,0.7429622115140756,0.67,0.38,0.5,0.2,0.2,0.39
3112604,MG,Capinópolis,1,61.55,61.55,61.99,99.24,99.24,94.37,10.065096067732542,9.69590972432601,5.741062202752044,52.352647433109425,0.05628454122406822,0.4605677243378499,4.579268292682927,0.5487804878048781,0.12297161264344675,0.11018218721306723,1.2804878048780488,0.649390243902439,0.3323170731707317,0.79,0.173,0.312,0.601,0.59,0.784676923076923,1.0,0.5,0.5,0.2,0.2,0.48
3117306,MG,Conceição das Alagoas,1,60.12,62.77,62.77,98.77,96.23,96.23,10.355995266977605,10.196865870532788,6.502902483372407,40.26273317569343,0.22331695887410133,0.32955102808393416,5.533333333333333,0.5440860215053763,0.05138876404494382,0.08077168487032241,1.6774193548387097,0.6946236559139785,0.24731182795698925,0.91,0.283,0.251,0.57,0.51,0.9776269669624879,0.0,0.75,0.5,0.4,0.2,0.37
3121258,MG,Delta,1,61.85,63.58,63.58,97.87,96.93,96.93,10.462045638444781,9.20079495913265,4.640730361386642,96.51140128629896,0.49506195695890604,0.290489080125893,4.442857142857143,0.5285714285714286,0.05858776376281976,0.07795751315533034,0.7714285714285715,0.34285714285714286,0.15714285714285714,0.96,0.124,0.245,0.481,0.38,0.9339660743134087,0.67,0.13,0.5,0.2,0.2,0.34
3127107,MG,Frutal,2,55.400000000000006,60.9,62.95,96.455,91.41499999999999,90.12,10.352969546061066,10.981403814946026,7.08386592124935,49.32148342103276,0.21102183137657024,0.47110062220984156,3.6850886339937436,0.6491136600625652,0.19910867020797696,0.07305487717884808,0.7914494264859229,0.3112617309697602,0.18248175182481752,0.9,0.12,0.252,0.615,0.47,0.7314446145992853,0.33,0.38,0.25,0.6,0.2,0.35
3133402,MG,Itapagipe,1,51.2,55.86,61.57,98.52,84.7,80.33,10.317218405061325,9.618601567386348,6.801043851253355,16.75345433483518,0.29538090985101856,0.30359484265734266,2.486899563318777,0.7234352256186317,0.31819271240036184,0.09189282511959991,0.4570596797671033,0.7954876273653566,0.1710334788937409,0.88,0.113,0.268,0.603,0.45,0.6794096137224919,0.67,0.38,0.0,0.2,0.0,0.25
3134202,MG,Ituiutaba,1,62.0,66.65,66.65,100.0,98.1,98.1,10.229404275217824,11.557200690220135,7.169338469259817,80.52943601043155,0.22992802132275536,0.5292878956680284,2.877815699658703,0.5242320819112628,0.13782437721429763,0.19283735944560224,0.7194539249146757,0.378839590443686,0.16245733788395905,0.96,0.095,0.256,0.644,0.5,0.9583644260758089,1.0,0.5,0.75,0.8,0.2,0.65
3134400,MG,Iturama,1,55.4,55.01,59.72,98.07,97.01,95.91,10.711078867486941,10.558023833968418,6.541534922199873,55.58460316314003,0.4992429193327303,0.3090323526011239,3.596774193548387,0.4946236559139785,0.09881760883373235,0.07691196649093666,0.7258064516129032,0.3118279569892473,0.17921146953405018,0.93,0.283,0.242,0.674,0.46,0.8464037002390604,1.0,0.63,0.25,0.2,0.2,0.46
