slope_bin,slope_label,segment,annual_log2_slope
00_03,0–3%,1987–2001,-0.007694879097851855
00_03,0–3%,2002–2008,0.04190180397093666
00_03,0–3%,2009–2019,0.005056953444616305
00_03,0–3%,2020–2023,-0.13929875558482235
03_06,>3–6%,1987–2001,0.0020380411742423354
03_06,>3–6%,2002–2008,0.003839447860336161
03_06,>3–6%,2009–2019,0.0007126468176501194
03_06,>3–6%,2020–2023,0.024048022627060798
06_09,>6–9%,1987–2001,0.0035928146692093986
06_09,>6–9%,2002–2008,-0.056582325990563904
06_09,>6–9%,2009–2019,-0.010252015057044594
06_09,>6–9%,2020–2023,0.15166282634620645
09_12,>9–12%,1987–2001,-0.000460340554408669
09_12,>9–12%,2002–2008,-0.10068804013479808
09_12,>9–12%,2009–2019,-0.007649202032803781
09_12,>9–12%,2020–2023,0.22052036456452276
12_20,>12–20%,1987–2001,-0.0002682307650741711
12_20,>12–20%,2002–2008,-0.10744547733524536
12_20,>12–20%,2009–2019,0.029150960652912408
12_20,>12–20%,2020–2023,0.15469969981470177
gt_20,>20%,1987–2001,0.0012624199347021521
gt_20,>20%,2002–2008,-0.1743604135360142
gt_20,>20%,2009–2019,0.1643805586327843
gt_20,>20%,2020–2023,0.06876303975469926
