year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,57330.68451869721,29153190.710308403,148,1132,239485.03885781812,99476537.31743054,0.23939150767883396,0.29306599823916574,0.8168518665323672,-0.2918536209177655,1.966532071510972
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,98609.74707605886,29991591.16431646,152,1123,239485.03885781812,99476537.31743054,0.41175744232859285,0.30149412085598654,1.3657229572488923,0.44966485643940285,3.28791315325021
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,60767.35422065866,15788912.739563294,128,1083,239485.03885781812,99476537.31743054,0.25374175568744456,0.15871996719367834,1.5986757064901336,0.6768773158739413,3.8487358327334342
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,17734.51692398576,7945812.449217174,106,1043,239485.03885781812,99476537.31743054,0.07405271330755119,0.0798762468365984,0.9270930500658059,-0.10921394899076052,2.231932484856596
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,4652.653224908604,9550316.347392412,75,979,239485.03885781812,99476537.31743054,0.019427740651769387,0.09600571757858102,0.2023602462620803,-2.305002194942321,0.4871726815812703
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,390.08289350902334,7046713.906632797,25,852,239485.03885781812,99476537.31743054,0.0016288403458080524,0.07083794929598995,0.022993894684925034,-5.442605340650207,0.05535670933679506
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,94459.08868427838,30045684.895190675,215,1133,333550.80226254184,101273720.70337859,0.28319250933753864,0.2966779998455051,0.9545450268810326,-0.06711484222846727,3.1438487427989426
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,143424.5665081903,30610840.64642974,228,1128,333550.80226254184,101273720.70337859,0.42999316906244195,0.30225847765666747,1.4226008560489976,0.5085309367946341,4.685417436417855
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,71808.50725980927,15932475.72139369,187,1085,333550.80226254184,101273720.70337859,0.21528506833956865,0.1573209279834642,1.3684451973369811,0.45253765968402543,4.507052671254774
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,18199.86779329169,7992116.117066291,138,1050,333550.80226254184,101273720.70337859,0.05456400545235792,0.07891599184426594,0.6914188642529563,-0.5323681291335608,2.277227648685917
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,5101.085505932453,9603809.88309285,107,984,333550.80226254184,101273720.70337859,0.01529327907872135,0.09483022660164256,0.16127008894499947,-2.632449210840543,0.5311522789422065
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,557.6865110397339,7088793.440205344,40,858,333550.80226254184,101273720.70337859,0.0016719687293714621,0.0699963760684548,0.023886504177535083,-5.387660460918554,0.07867157023883872
