cidade,cnpj_clean,dem_area_1985,dem_area_1990,dem_area_1995,dem_area_2000,dem_area_2005,dem_area_2010,dem_area_2015,dem_area_2020,dem_area_2024,dem_area_le12_1985,dem_area_le12_1990,dem_area_le12_1995,dem_area_le12_2000,dem_area_le12_2005,dem_area_le12_2010,dem_area_le12_2015,dem_area_le12_2020,dem_area_le12_2024,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1990,dem_slope_x_area_1995,dem_slope_x_area_2000,dem_slope_x_area_2005,dem_slope_x_area_2010,dem_slope_x_area_2015,dem_slope_x_area_2020,dem_slope_x_area_2024,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2015,mean_slope_pct_2015,share_slope_le12_2020,mean_slope_pct_2020,share_slope_le12_2024,mean_slope_pct_2024
SÃO JOSÉ DO RIO CLARO,00297598000122,0.0,199.7469228580594,8.775971591472626,3.995121829211712,1010.0791418775916,542.5495284372977,510.57570005208254,2102.7156439770088,317.37052296102047,0.0,198.61667108535767,8.689128369092941,3.995121829211712,1008.6029537320137,541.5073262551836,510.4019650667906,2101.4126562971696,317.1967866420746,4690.422609276894,4695.8085535837445,2151541.887765967,0.0,873.4446890503168,37.509861558675766,17.558006271719933,3768.509297013283,2105.071694009678,1873.2215817123652,7323.69500127423,1108.4178567677736,17107.427987658044,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,MT,5y_1985_2024,0.9988530315396398,3.643127225576947,458.1834764375039,,,0.9943415810540175,4.372756669052611,0.9901044321446907,4.274154851996454,1.0,4.39486128891953,0.9985385420959848,3.7309049764240916,0.9980790653618002,3.8799622590639866,0.9996597272739884,3.6688420179833914,0.9993803310097723,3.482969759725775,0.9994525757549096,3.492504112941547
Patrocínio Paulista,00372496000124,9343.211661378396,7539.972298351952,18151.16814949387,17582.347142010723,13738.2743660708,15416.093754225065,7420.211697469011,3380.0795619991486,891.6959749133856,8462.744289875118,6465.590355581718,14943.685742034075,14079.415302708223,10902.333438077627,12366.001940720162,5569.551597470542,2452.549259027138,611.9276780995668,75853.79960359418,93463.05460591236,74686218.12084486,63757.95617551142,57392.82071931655,145260.30044013885,147186.85956527787,117137.09071877961,129904.16733488865,67940.00050821024,32293.5448972137,9054.920946528398,769927.6613058654,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,SP,5y_1985_2024,0.8115912744713113,8.237775499123915,799.0988357459515,0.9057639489060463,6.82398713485907,0.8575085026499278,7.611807901716187,0.8232905793697232,8.002807270792061,0.8007699534647054,8.371286175643414,0.7935737158520395,8.526332172261114,0.8021488541694313,8.42652940530321,0.7505920079571695,9.156073071524922,0.7255892099701278,9.554078330071519,0.686251475071429,10.154717752772118
Jandaia,00595322000120,0.0,1155.8467269018292,565.8327439278364,827.7469689622521,4215.804971605539,11750.278717565858,8127.451712192596,6628.494954653348,537.9224301519055,0.0,1140.8891535922885,556.0031488239765,822.105292275548,4178.36991161108,11684.120631772601,8077.965495409072,6584.225159921016,529.2044404985566,33572.88323390413,33809.37922596116,17988573.462296817,0.0,5348.065902158618,2781.073694691062,3555.1856898218393,18129.226278737187,45767.808222882835,31300.371193790845,25632.031626148844,2256.9796558956887,134770.74226412692,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,GO,5y_1985_2024,0.9930050182088103,3.9861939304889904,532.0586734844264,,,0.9870592069334023,4.62696807256941,0.9826280907046385,4.915010176656986,0.9931842979820547,4.29501505064885,0.9911203055533656,4.300300037796314,0.9943696581686735,3.8950402218513434,0.993911225986211,3.8511912838355995,0.9933212901216355,3.866945935917866,0.9837932215414645,4.195734420775749
João Pinheiro,01105558000102,0.0,0.5106032267212868,27.490457952022552,29.67786456644535,520.6700685173273,5004.660332437035,7681.430630911273,8205.554122969334,1218.2324446487078,0.0,0.42550258338451385,20.256091326475143,29.422535374760628,517.5238455533981,4961.712582643506,7550.976039003712,7915.647739276114,1154.359926150155,22150.324261911504,22688.226525228863,20825989.976471305,0.0,3.6500686407089233,252.9584763199091,68.555678576231,1451.0142394453287,15674.57467172508,35088.577997411645,43224.40255570336,7560.981859485542,103324.7155473078,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,MG,5y_1985_2024,0.9762915685490348,4.554111597590616,917.9205767058615,,,0.8333331266172644,7.148542057101642,0.7368408107943085,9.201682880706548,0.9913966454320502,2.3099936460301134,0.9939573577315699,2.7868209201601926,0.9914184486177474,3.131995706108649,0.9830168886271535,4.56797433751595,0.9646694934493576,5.267700621790768,0.9475695145215318,6.206518216370312
Rio Verde,02043917000107,0.0,11.01171000301838,8.448497340083122,2.6458489447832108,120.68230702622849,2091.3509615676953,4401.101458841065,1694.112987640237,170.69633399820796,0.0,10.840864814817905,8.277701914310455,2.6458489447832108,119.06092937185484,2081.538454236324,4332.065616221229,1660.918917532002,162.25000415122977,8377.598337186551,8500.050105361319,7173048.513977425,0.0,50.18495152890682,47.322425708174706,12.859268426895142,588.0310503207002,8680.7188416706,19750.203105922188,8352.429911488936,1035.083201304604,38516.832756371005,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,5y_1985_2024,0.9855939945462754,4.531365377726057,843.8830859894695,,,0.9844851355372014,4.557416742281699,0.9797839285617878,5.601283139861782,1.0,4.860167263988978,0.9865649100160038,4.872553937777312,0.9953080532575863,4.150770961543182,0.9843139624783802,4.487559146414902,0.9804062241713455,4.9302673271652315,0.9505183875415458,6.063886534994189
Itapaci,02414858000470,0.0,603.914256570006,2460.2661870257234,489.9864193078934,4676.9812277258025,13047.965537437327,11139.504742170522,9156.811595611976,1207.3409935275422,0.0,589.5711076455957,2364.962612048843,479.6185952451884,4478.680308236971,12555.246406039827,10687.581112860613,8691.421976039486,1140.1434879650965,40987.225606081614,42782.770959376794,24677394.51590564,0.0,3137.579597587854,13754.206706472589,2504.5146859793103,27030.77901390259,71676.833411575,61879.90768235011,52558.1358991263,7234.874932331957,239776.8319293257,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,GO,5y_1985_2024,0.9580311112854263,5.60451851417009,576.8068304724204,,,0.976249693117242,5.195405744199623,0.9612629009497158,5.590536007447385,0.978840588934384,5.1113961270945865,0.9576006595208729,5.779535494746126,0.9622378576963753,5.493334053183943,0.9594305456328706,5.554996305005645,0.9491755820557115,5.739785661235251,0.9443425627700159,5.9924039447989745
Goianésia,02460988000105,115.4557077512145,1122.9064595997334,4967.36697516076,2456.3392375333055,10380.338802904269,10066.238503695908,5992.16546490806,2632.681980822951,801.1270684124207,104.83380387723446,994.3381719365716,4409.352534810527,2196.9791045800434,9478.13063661047,9572.03331453619,5605.919331530642,2319.0551967290103,712.5005918692725,35393.142686479965,38534.62020078863,25387096.03564588,758.499052375555,7880.218806028366,33388.872564014855,14884.573827135915,61299.18614233048,53067.89302885327,33705.32900527255,17732.64704026276,5278.715250750851,227995.93471702462,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,5y_1985_2024,0.9184764895063278,5.916651923102607,658.812670356261,0.9080001839591312,6.56961069443166,0.885504009203945,7.017698347587489,0.8876639388350859,6.7216440281089325,0.8944119244645884,6.059657232884184,0.913084901810587,5.90531651290417,0.9509046811300699,5.271869229938167,0.9355414773441433,5.6248995797364385,0.8808717549713679,6.735582637565554,0.8893727599058939,6.589111089719621
Goianésia,02635522000195,115.4557077512145,1189.4553957437765,5066.92358701308,3024.7570769265294,12238.67020855844,13899.300328239622,7842.753759154327,3258.6544471618304,1144.5398640614221,104.83380387723446,1066.0692263102706,4573.580770667686,2762.798820272088,11440.17129008472,13361.120956264904,7375.55347995574,2943.530608126492,1063.382517782993,44691.04147334212,47780.51037461023,31044756.806005016,758.499052375555,8008.784349308119,32067.149258199803,17144.359782844782,66566.05637826025,69751.06740394351,42413.33699805251,20306.37026863063,6531.883042842793,263547.5065344579,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,5y_1985_2024,0.9353403955494414,5.5157951321194485,649.7368186862584,0.9080001839591312,6.56961069443166,0.8962666697086598,6.733152313206464,0.902634644499106,6.328721700163469,0.9133952743998145,5.668012123560431,0.9347560719533619,5.438994208023593,0.9612801105620199,5.01831500555666,0.9404290516384943,5.407964893523047,0.9032963316163211,6.231519971783674,0.9290917260055578,5.706994791482646
Goianésia,02635522004930,11.243043563734084,555.7285133320036,2312.7461786970207,649.9765598414868,3930.5459463249235,10843.156439564129,19227.04398971632,10401.225885113226,1846.181599256338,8.927887596628246,513.7299194698825,2019.6583983275818,554.0633590405771,3428.8287993750732,10341.720144279534,18684.963210933285,9903.626585751423,1682.1044273004518,47137.62273207444,49777.84815540917,29103094.381927367,106.79926252061244,3454.374016846862,16845.561106525627,4899.3045238509485,28149.72216987329,60749.91758616946,97821.96448971718,57728.816152488595,12076.554508304947,281833.01381629746,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,5y_1985_2024,0.9469598321106247,5.661815933392688,584.6595515954389,0.7940810285060463,9.49914157275949,0.9244260590295998,6.215938059638751,0.8732728290423285,7.283791564198479,0.8524359081129008,7.53766339673198,0.8723543360639359,7.161784279914955,0.9537555048588092,5.602604548294377,0.9718063380375596,5.087727710096141,0.9521595526471553,5.550193485857573,0.9111262012242034,6.541368689390857
Ipameri,02678100000105,0.0,0.0,0.0,3.162872865796089,23.248573429882526,1338.1092560961843,3052.590677767992,3759.384975552559,772.0083610266447,0.0,0.0,0.0,3.162872865796089,23.248573429882526,1336.057906985283,3038.574059307575,3696.6287675350904,741.6616810560226,8839.33386117965,8948.504716739058,8108872.600578308,0.0,0.0,0.0,16.92927460372448,92.50547534227371,5148.666918441653,12762.887509942055,17634.863452509046,3915.158923625946,39571.0115544647,LASA LAGO AZUL S.A. - Ipameri - GO,GO,5y_1985_2024,0.9878001007972658,4.422080873516581,906.1706796007901,,,,,,,1.0,5.3524992378925145,1.0,3.978974263572315,0.9984669793579591,3.847717886252753,0.9954082876022325,4.181001928261828,0.9833067886301683,4.6908905491694295,0.9606912547808861,5.07139445798155
