cidade,cnpj_clean,dem_area_1985,dem_area_1990,dem_area_1995,dem_area_2000,dem_area_2005,dem_area_2010,dem_area_2015,dem_area_le12_1985,dem_area_le12_1990,dem_area_le12_1995,dem_area_le12_2000,dem_area_le12_2005,dem_area_le12_2010,dem_area_le12_2015,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1990,dem_slope_x_area_1995,dem_slope_x_area_2000,dem_slope_x_area_2005,dem_slope_x_area_2010,dem_slope_x_area_2015,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2015,mean_slope_pct_2015
SÃO JOSÉ DO RIO CLARO,00297598000122,0.0,199.7469228580594,8.775971591472626,3.995121829211712,1010.0791418775916,542.5495284372977,510.57570005208254,0.0,198.61667108535767,8.689128369092941,3.995121829211712,1008.6029537320137,541.5073262551836,510.4019650667906,2271.8131663376503,2275.7223866457157,1035074.9186057595,0.0,873.4446890503168,37.509861558675766,17.558006271719933,3768.509297013283,2105.071694009678,1873.2215817123652,8675.315129616038,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,MT,pre_renovabio_1985_2015,0.9982822068583561,3.8121148609883626,454.83356172076884,,,0.9943415810540175,4.372756669052611,0.9901044321446907,4.274154851996454,1.0,4.39486128891953,0.9985385420959848,3.7309049764240916,0.9980790653618002,3.8799622590639866,0.9996597272739884,3.6688420179833914
Patrocínio Paulista,00372496000124,9343.211661378396,7539.972298351952,18151.16814949387,17582.347142010723,13738.2743660708,15416.093754225065,7420.211697469011,8462.744289875118,6465.590355581718,14943.685742034075,14079.415302708223,10902.333438077627,12366.001940720162,5569.551597470541,72789.32266646746,89191.27906899981,71306453.98398286,63757.95617551142,57392.82071931655,145260.30044013885,147186.85956527787,117137.09071877961,129904.16733488865,67940.00050821024,728579.1954621233,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,SP,pre_renovabio_1985_2015,0.8161035857570388,8.168726842660062,799.4778719208527,0.9057639489060463,6.82398713485907,0.8575085026499278,7.611807901716187,0.8232905793697232,8.002807270792061,0.8007699534647054,8.371286175643414,0.7935737158520395,8.526332172261114,0.8021488541694313,8.42652940530321,0.7505920079571694,9.156073071524922
Jandaia,00595322000120,0.0,1155.8467269018292,565.8327439278364,827.7469689622521,4215.804971605539,11750.278717565858,8127.451712192596,0.0,1140.8891535922885,556.0031488239765,822.105292275548,4178.36991161108,11684.120631772601,8077.965495409072,26459.45363348457,26642.961841155913,14237495.62542937,0.0,5348.065902158618,2781.073694691062,3555.1856898218393,18129.226278737187,45767.808222882835,31300.371193790845,106881.73098208237,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,GO,pre_renovabio_1985_2015,0.993112319539944,4.011630974788248,534.3811138683698,,,0.9870592069334023,4.62696807256941,0.9826280907046385,4.915010176656986,0.9931842979820547,4.29501505064885,0.9911203055533656,4.300300037796314,0.9943696581686735,3.8950402218513434,0.993911225986211,3.8511912838355995
João Pinheiro,01105558000102,0.0,0.5106032267212868,27.490457952022552,29.67786456644535,520.6700685173273,5004.660332437035,7681.430630911273,0.0,0.42550258338451385,20.256091326475143,29.422535374760628,517.5238455533981,4961.712582643506,7550.976039003712,13080.316596485236,13264.439957610824,12412833.660891963,0.0,3.6500686407089233,252.9584763199091,68.555678576231,1451.0142394453287,15674.57467172508,35088.577997411645,52539.331132118896,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,MG,pre_renovabio_1985_2015,0.9861190248729693,3.9609158999564893,935.7977947474345,,,0.8333331266172644,7.148542057101642,0.7368408107943085,9.201682880706548,0.9913966454320502,2.3099936460301134,0.9939573577315699,2.7868209201601926,0.9914184486177474,3.131995706108649,0.9830168886271535,4.56797433751595
Rio Verde,02043917000107,0.0,11.01171000301838,8.448497340083122,2.6458489447832108,120.68230702622849,2091.3509615676953,4401.101458841065,0.0,10.840864814817905,8.277701914310455,2.6458489447832108,119.06092937185484,2081.538454236324,4332.065616221229,6554.429415503319,6635.240783722874,5633652.188673177,0.0,50.18495152890682,47.322425708174706,12.859268426895142,588.0310503207002,8680.7188416706,19750.203105922188,29129.319643577466,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,pre_renovabio_1985_2015,0.9878208838452712,4.3900923256674504,849.0501508993123,,,0.9844851355372014,4.557416742281699,0.9797839285617878,5.601283139861782,1.0,4.860167263988978,0.9865649100160038,4.872553937777312,0.9953080532575863,4.150770961543182,0.9843139624783802,4.487559146414902
Itapaci,02414858000470,0.0,603.914256570006,2460.2661870257234,489.98641930789336,4676.9812277258025,13047.965537437327,11139.504742170522,0.0,589.5711076455957,2364.962612048843,479.6185952451883,4478.680308236971,12555.246406039827,10687.581112860613,31155.660142077042,32418.618370237276,18805344.10092483,0.0,3137.579597587854,13754.206706472589,2504.5146859793103,27030.77901390259,71676.833411575,61879.90768235011,179983.8210978675,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,GO,pre_renovabio_1985_2015,0.9610421945273361,5.551865876650257,580.0785180342401,,,0.976249693117242,5.195405744199623,0.9612629009497158,5.590536007447385,0.978840588934384,5.1113961270945865,0.9576006595208729,5.779535494746126,0.9622378576963753,5.493334053183943,0.9594305456328706,5.554996305005645
Goianésia,02460988000105,115.4557077512145,1122.9064595997334,4967.36697516076,2456.3392375333055,10380.338802904269,10066.238503695908,5992.165464908059,104.83380387723446,994.3381719365716,4409.352534810527,2196.9791045800434,9478.13063661047,9572.03331453619,5605.919331530642,32361.586897881687,35100.81115155326,23169267.910849176,758.499052375555,7880.218806028366,33388.872564014855,14884.573827135913,61299.18614233049,53067.89302885327,33705.32900527255,204984.572426011,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,pre_renovabio_1985_2015,0.921961226427374,5.839881350347089,660.0778486517655,0.9080001839591312,6.56961069443166,0.885504009203945,7.017698347587489,0.8876639388350859,6.7216440281089325,0.8944119244645884,6.059657232884183,0.913084901810587,5.905316512904171,0.9509046811300699,5.271869229938167,0.9355414773441435,5.624899579736439
Goianésia,02635522000195,115.4557077512145,1189.4553957437765,5066.92358701308,3024.7570769265294,12238.67020855844,13899.300328239622,7842.753759154327,104.83380387723446,1066.0692263102706,4573.580770667686,2762.798820272088,11440.17129008472,13361.120956264904,7375.55347995574,40684.12834743264,43377.316063386985,28225420.413692493,758.499052375555,8008.784349308119,32067.149258199803,17144.359782844782,66566.05637826025,69751.06740394351,42413.33699805251,236709.25322298458,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,pre_renovabio_1985_2015,0.9379125321626905,5.456982466989957,650.6954089194194,0.9080001839591312,6.56961069443166,0.8962666697086598,6.733152313206464,0.902634644499106,6.328721700163469,0.9133952743998145,5.668012123560431,0.9347560719533619,5.438994208023593,0.9612801105620199,5.01831500555666,0.9404290516384943,5.407964893523047
Goianésia,02635522004930,11.243043563734084,555.7285133320036,2312.7461786970207,649.9765598414868,3930.5459463249235,10843.156439564127,19227.04398971632,8.927887596628246,513.7299194698825,2019.6583983275818,554.0633590405771,3428.8287993750732,10341.720144279534,18684.963210933285,35551.89171902258,37530.44067103963,22090950.57466703,106.79926252061244,3454.374016846862,16845.561106525627,4899.3045238509485,28149.72216987329,60749.91758616946,97821.96448971717,212027.64315550396,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,pre_renovabio_1985_2015,0.9472814889289642,5.649484508161268,588.6142070192508,0.7940810285060463,9.49914157275949,0.9244260590295998,6.215938059638751,0.8732728290423285,7.283791564198479,0.8524359081129008,7.53766339673198,0.8723543360639359,7.161784279914955,0.9537555048588093,5.602604548294379,0.9718063380375596,5.08772771009614
Ipameri,02678100000105,0.0,0.0,0.0,3.162872865796089,23.248573429882526,1338.1092560961843,3052.590677767992,0.0,0.0,0.0,3.162872865796089,23.248573429882526,1336.057906985283,3038.574059307575,4401.043412588537,4417.111380159855,4020467.772354126,0.0,0.0,0.0,16.92927460372448,92.50547534227371,5148.666918441653,12762.887509942055,18020.989178329706,LASA LAGO AZUL S.A. - Ipameri - GO,GO,pre_renovabio_1985_2015,0.9963623358823394,4.079813169138951,910.2029417715579,,,,,,,1.0,5.3524992378925145,1.0,3.978974263572315,0.9984669793579591,3.847717886252753,0.9954082876022325,4.181001928261828
