iteration,period,slope_bin,selection_ratio
0,post_law_pre_zae_2002_2008,00_03,0.8667873288128155
0,post_law_pre_zae_2002_2008,03_06,1.409705880276563
0,post_law_pre_zae_2002_2008,06_09,1.3950112402049744
0,post_law_pre_zae_2002_2008,09_12,0.6983581633615278
0,post_law_pre_zae_2002_2008,12_20,0.16017454709594336
0,post_law_pre_zae_2002_2008,gt_20,0.019093388882889313
0,post_zae_2020_2023,00_03,0.9657356838640874
0,post_zae_2020_2023,03_06,1.4309582270211065
0,post_zae_2020_2023,06_09,1.174993757344042
0,post_zae_2020_2023,09_12,0.534403012709554
0,post_zae_2020_2023,12_20,0.14736401253338904
0,post_zae_2020_2023,gt_20,0.03551852571867951
0,pre_law_1986_2001,00_03,0.8036044595306341
0,pre_law_1986_2001,03_06,1.354472641494386
0,pre_law_1986_2001,06_09,1.54417552973867
0,pre_law_1986_2001,09_12,0.947834175637324
0,pre_law_1986_2001,12_20,0.24488511340478097
0,pre_law_1986_2001,gt_20,0.03404374827750203
0,zae_2009_2019,00_03,1.068578989024923
0,zae_2009_2019,03_06,1.3667141525015514
0,zae_2009_2019,06_09,1.0817230634091275
0,zae_2009_2019,09_12,0.4835263477766428
0,zae_2009_2019,12_20,0.12191998789067321
0,zae_2009_2019,gt_20,0.01887583949797641
1,post_law_pre_zae_2002_2008,00_03,0.9447296885537934
1,post_law_pre_zae_2002_2008,03_06,1.4017872001658185
1,post_law_pre_zae_2002_2008,06_09,1.2496372151681987
1,post_law_pre_zae_2002_2008,09_12,0.6759576851363601
1,post_law_pre_zae_2002_2008,12_20,0.18745557449016076
1,post_law_pre_zae_2002_2008,gt_20,0.018657847522832127
1,post_zae_2020_2023,00_03,1.0187931036807965
1,post_zae_2020_2023,03_06,1.4223810648944075
1,post_zae_2020_2023,06_09,1.0893956511738065
1,post_zae_2020_2023,09_12,0.5606349888048552
1,post_zae_2020_2023,12_20,0.16163479399037384
1,post_zae_2020_2023,gt_20,0.030495789032846308
1,pre_law_1986_2001,00_03,0.8635022802723256
1,pre_law_1986_2001,03_06,1.3491020905204543
1,pre_law_1986_2001,06_09,1.4736657066766246
1,pre_law_1986_2001,09_12,0.897276365534938
1,pre_law_1986_2001,12_20,0.232311290676739
1,pre_law_1986_2001,gt_20,0.025016672010804323
1,zae_2009_2019,00_03,1.109188348975109
1,zae_2009_2019,03_06,1.3898159642082262
1,zae_2009_2019,06_09,0.990446292704148
1,zae_2009_2019,09_12,0.47205034070916063
1,zae_2009_2019,12_20,0.1381708365768047
1,zae_2009_2019,gt_20,0.019961401301296314
2,post_law_pre_zae_2002_2008,00_03,0.9096297059014554
2,post_law_pre_zae_2002_2008,03_06,1.4189115167838342
2,post_law_pre_zae_2002_2008,06_09,1.3094114223677522
2,post_law_pre_zae_2002_2008,09_12,0.6435421487876788
2,post_law_pre_zae_2002_2008,12_20,0.16512786438933666
2,post_law_pre_zae_2002_2008,gt_20,0.021066537372605987
2,post_zae_2020_2023,00_03,1.0128165618408063
2,post_zae_2020_2023,03_06,1.4260200100034224
2,post_zae_2020_2023,06_09,1.1114496126304445
2,post_zae_2020_2023,09_12,0.5263410179227179
2,post_zae_2020_2023,12_20,0.1570105144017494
2,post_zae_2020_2023,gt_20,0.04435725152075214
2,pre_law_1986_2001,00_03,0.874188674886539
2,pre_law_1986_2001,03_06,1.3557109825415468
2,pre_law_1986_2001,06_09,1.4255817864925122
2,pre_law_1986_2001,09_12,0.8542059165940974
2,pre_law_1986_2001,12_20,0.23843287701550897
2,pre_law_1986_2001,gt_20,0.03474247257663175
2,zae_2009_2019,00_03,1.0722876012362117
2,zae_2009_2019,03_06,1.4107658856762009
2,zae_2009_2019,06_09,1.0483619353731186
2,zae_2009_2019,09_12,0.47476833797136275
2,zae_2009_2019,12_20,0.1281259569448352
