outcome,overlay_cluster,overlay_lisa_class,cell_count,cnpj_clean,emissor_x,cidade_x,uf_x,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026,cd_ibge,lisa_class,local_I,p_value,outcome_value,cluster,overlay_cell,lisa_sig,area_1985,area_1995,area_2005,area_2015,area_2024,cidade_y,emissor_y,uf_y,cane_area_total_ha,mean_first_key_year,dominant_first_key_year,share_1985,share_1995,share_2005,share_2015,share_2024,share_old_le_1995,share_mid_2000_2010,share_recent_ge_2015,share_recent_ge_2010,schema,buffer_km_x,scale_m,area_1990,area_2000,area_2010,area_2020,share_1990,share_2000,share_2010,share_2020,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,log_cane_area,frontier_year_c,frontier_period_generation,frontier_generation_legacy,buffer_km_y,prior_entry_area_total_ha,prior_pasture_area_ha,prior_pasture_share,prior_annual_agriculture_area_ha,prior_annual_agriculture_share,prior_perennial_agriculture_area_ha,prior_perennial_agriculture_share,prior_agricultural_mosaic_area_ha,prior_agricultural_mosaic_share,prior_forestry_area_ha,prior_forestry_share,prior_native_vegetation_area_ha,prior_native_vegetation_share,prior_other_uses_area_ha,prior_other_uses_share,prior_productive_share,source_method,origin_year_window,vol_pct_first_c,student_resid,cooks_d,hat_diag,outlier_any
delta_vol_pct,C2_extensive_vulnerable_frontier,ns,67,00297598000122,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,SÃO JOSÉ DO RIO CLARO,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4726601.98423902,8470976.23214683,47.19,47.19,39.17,47.19,t0_2022,-8.019999999999996,67.56,67.56,66.16,67.56,t0_2022,-1.4000000000000057,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.207920/2019-13,48610.207920/2019-13,48610.222034/2024-87,True,True,True,5107305,ns,-0.0014006026136272,0.433,0.0184280235828271,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,17.378527641296387,972.475887298584,556.0166015625,,SÃO JOSÉ DO RIO CLARO,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,MT,2058.324789047241,2007.679178252734,2005.0,0.0,0.0084430444280567,0.4724598821688992,0.2701306443575745,,0.0675695390174757,0.6622998166249497,0.2701306443575745,0.459970578813625,pre_renovabio_1985_2015,25,300,121.70152950286864,0.0,390.7522430419922,,0.0591264945894189,0.0,0.1898399344560504,,0.998282206858356,3.8121148609883626,454.8335617207688,7.6301334357473785,3.233361241591183,frontier_2002_2008,2006–2015,25,2516.837738484227,49.30889992806503,0.0195916086182661,2134.0904585529693,0.8479253254674382,0.0,0.0,233.40026935972344,0.0927355251357163,0.0,0.0,92.3837219090965,0.036706268543452,7.654388734372753,0.0030412722351273,0.9602524592214206,grid_intersection_approximation,1987-2015,-25.014464285714283,-1.0137825706158388,0.02135147540104703,0.17203189738383834,True
delta_vol_pct,C0_agroindustrial_intensive,ns,63,00372496000124,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,Patrocínio Paulista,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683831.09458151,7690204.52935748,55.7,54.14,55.51,55.7,t0_2022,-0.1900000000000048,94.63,92.14,90.31,94.63,t0_2022,-4.319999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.214877/2019-42,48610.233075/2022-37,48610.226779/2025-04,True,True,True,3536307,ns,-0.0343980119485222,0.328,-0.2862585705793554,0,C0_agroindustrial_intensive × ns,ns,8959.314504017551,19052.48549935958,14135.240089068697,8249.939681412192,,Patrocínio Paulista,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,SP,93095.24370100732,2000.6586870488024,1995.0,0.0962381551176991,0.2046558421453858,0.1518363294097671,0.0886182725715655,,0.3785278943939148,0.5328538330345196,0.0886182725715655,0.2699604547696059,pre_renovabio_1985_2015,25,300,7227.346572853537,18588.82270929673,16882.09464499904,,0.0776338971308298,0.199675321426712,0.1813421821980403,,0.8161035857570388,8.168726842660062,799.4778719208527,11.441389115523243,-3.7871299623402592,frontier_until_2001,1996–2005,25,88329.41983941021,7640.763078212628,0.0865030370640284,30412.52715897984,0.3443080144109651,131.74008778298293,0.0014914632975343,48886.8459468431,0.5534605122021995,28.610093853739084,0.0003239022050156,1193.723505731933,0.013514449748478,35.209968005988905,0.0003986210717788,0.9860869291797428,grid_intersection_approximation,1987-2015,2.0555357142857105,-0.17841493586979784,7.957697017001979e-05,0.024280227636670537,False
delta_vol_pct,C2_extensive_vulnerable_frontier,ns,67,00595322000120,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,Jandaia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5409973.4560416,8087852.68291427,64.3,67.46,68.08,64.3,t0_2022,3.780000000000001,87.16,88.4,85.61,87.16,t0_2022,-1.5499999999999972,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.213994/2019-99,48610.218118/2022-54,"48610.229099/2025-34,",True,True,True,5211701,ns,0.0001448296664491,0.456,0.0027763149786062,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,649.5710363388062,4461.641447067261,8251.34350757973,,Jandaia,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,GO,27669.054227469947,2009.307117108954,2010.0,0.0,0.02347644523729,0.1612502332167799,0.2982155963750927,,0.0596161000391177,0.6421683035857897,0.2982155963750927,0.748856673519925,pre_renovabio_1985_2015,25,300,999.950068473816,837.735767364502,12468.812400645837,,0.0361396548018277,0.0302769932241773,0.4506410771448323,,0.993112319539944,4.011630974788248,534.3811138683698,10.228106032571965,4.861300097811181,frontier_2009_2015,2006–2015,25,21928.219796460067,1467.8185091380917,0.0669374223152873,17281.31465920521,0.7880856184228408,0.0,0.0,3129.6692241134897,0.1427233607271084,4.072289676187291,0.0001857099989869,42.462473583565455,0.00193643049813,2.882640743523716,0.0001314580376464,0.9979321114642234,grid_intersection_approximation,1987-2015,-5.414464285714288,-0.1112598706812102,4.4096621718532857e-05,0.034241988400627546,False
delta_vol_pct,C2_extensive_vulnerable_frontier,HL,5,01105558000102,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,João Pinheiro,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5846982.93235041,7966338.47292695,68.5,62.85,68.5,68.5,t0_2022,0.0,92.11,94.26,92.11,92.11,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.222095/2019-87,48610.233070/2022-12,48610.222095/2019-87,True,True,True,3136306,HL,-0.1440222267458604,0.015,0.1645106372222309,2,C2_extensive_vulnerable_frontier × HL,sig,0.0,8.510758399963379,493.2095947265625,8138.22642326355,,João Pinheiro,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,MG,13994.5511413462,2012.7162284756796,2015.0,0.0,0.0006081480080356,0.0352429734791135,0.5815282205957694,,0.0006081480080356,0.417863631396195,0.5815282205957694,0.963541324534515,pre_renovabio_1985_2015,25,300,0.0,8.502445220947266,5346.101919735179,,0.0,0.0006075539783356,0.3820131039387457,,0.9861190248729692,3.960915899956489,935.7977947474344,9.546494782477897,8.270411464536892,frontier_2009_2015,2006–2015,25,7040.848818497068,842.0881057965112,0.119600367442098,3544.7968301714445,0.5034615742435602,46.10000195364914,0.00654750629392,2584.6727748382345,0.3670967579999759,0.4550414290587249,6.4628774284044e-05,19.093665943571075,0.0027118414889707,3.642398364599198,0.000517323757191,0.9967708347538382,grid_intersection_approximation,1987-2015,-0.46446428571428555,0.40667662414882677,0.0008329151077888352,0.04776661415509571,False
delta_vol_pct,C1_developed_diversified,ns,59,02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True,5218805,ns,0.1417432189327936,0.067,-0.2299124196041578,1,C1_developed_diversified × ns,ns,0.0,0.0,64.36835129681755,4752.449861836901,,Rio Verde,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,7042.845325436312,2013.2797818061824,2015.0,0.0,0.0,0.0091395378320096,0.6747911734867585,,0.0024238186045568,0.3227850079086846,0.6747911734867585,0.9884366435634334,pre_renovabio_1985_2015,25,300,17.070579528808594,0.0,2208.9565327737846,,0.0024238186045568,0.0,0.3136454700766749,,0.9878208838452712,4.39009232566745,849.0501508993123,8.859909511032635,8.83396479503972,frontier_2009_2015,2006–2015,25,11172.752409370938,278.2337264158567,0.0249028812437026,9869.009151099446,0.8833104672418945,0.0,0.0,1006.9965807938712,0.0901296783368502,2.738849414519553,0.0002451364994199,13.405077370381004,0.001199800808182,2.369024276864017,0.0002120358699506,0.9985881633218676,grid_intersection_approximation,1987-2015,-5.494464285714287,-0.23248059115378833,0.0003304718766697208,0.05737823263956775,False
delta_vol_pct,C2_extensive_vulnerable_frontier,ns,67,02414858000470,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,Itapaci,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5479817.78534701,8338262.39698919,62.3,50.36,60.63,62.3,t0_2022,-1.6699999999999946,98.44,79.67,78.35,98.44,t0_2022,-20.090000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219055/2019-58,48610.215953/2023-13,48610.200582/2024-56,True,True,True,5210901,ns,0.2828826217172971,0.335,-1.9317748685032048,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,1883.87789925594,4885.573584773494,12049.976265178007,,Itapaci,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,GO,33798.265414784,2009.7757647989208,2010.0,0.0,0.0557388929915881,0.1445510154091059,0.3565264701397108,,0.0712373750422162,0.572236154818073,0.3565264701397108,0.7704056656641093,pre_renovabio_1985_2015,25,300,523.8218098733939,466.6169557122623,13988.398899990903,,0.015498482050628,0.0138059438845685,0.4138791955243985,,0.961042194527336,5.551865876650257,580.0785180342401,10.428194347944524,5.32994778777811,frontier_2009_2015,2006–2015,25,27576.49652170245,13372.426951829111,0.4849211697833019,2642.483445686289,0.0958237549721618,0.0,0.0,11308.25275133897,0.4100685067967019,0.5213702653157389,1.890632716543326e-05,234.0631945822288,0.0084877785108787,18.748808000537725,0.00067988360979,0.990832337879331,grid_intersection_approximation,1987-2015,5.865535714285713,-1.7091523278049876,0.010065720145255258,0.0336027969431548,False
delta_vol_pct,C1_developed_diversified,ns,59,02460988000105,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2023,5526539.61558435,8311157.15201518,,62.1,63.03,62.1,t1_2023,0.9299999999999996,,97.98,99.91,97.98,t1_2023,1.9299999999999928,,valido,valido,,sem_motivo,sem_motivo,,48610.224772/2021-16,48610.229566/2024-45,False,True,True,5208608,ns,-0.1936986508481402,0.097,0.3658959545965503,1,C1_developed_diversified × ns,ns,43.178568840026855,4731.037157817916,11102.55818900688,6536.584688986984,,Goianésia,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,36906.42047459845,2006.2560237836008,2005.0,0.0011699473502109,0.1281900844617034,0.3008299923491206,0.1771123995480925,,0.1536903707140469,0.6691972297378607,0.1771123995480925,0.4768114845698035,pre_renovabio_1985_2015,25,300,897.9457178115845,2534.2957044713635,11060.820447663698,,0.0243303389021325,0.0686681523670289,0.299699085021711,,0.921961226427374,5.839881350347089,660.0778486517655,10.51616790668394,1.8102067724580593,frontier_2002_2008,2006–2015,25,31289.127079375405,10125.366549533795,0.3236065526483815,5170.092248528992,0.1652360654042317,0.0,0.0,15442.399642289149,0.4935388450791325,8.417944681801865,0.0002690373771197,525.1862671811396,0.0167849446821839,17.664427160526923,0.0005645548089505,0.9826505005088656,grid_intersection_approximation,1987-2015,5.405535714285719,1.0551772740502778,0.00451286332417821,0.03897355346178351,False
delta_vol_pct,C1_developed_diversified,ns,59,02635522000195,JALLES MACHADO S.A. - Matriz - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5538381.62495406,8311260.58537639,70.1,72.26,67.67,70.1,t0_2022,-2.4299999999999926,100.0,99.88,95.23,100.0,t0_2022,-4.769999999999996,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200111/2020-14,48610.219326/2022-71,48610.224191/2025-16,True,True,True,5208608,ns,0.1375717737401174,0.131,-0.333213696392021,1,C1_developed_diversified × ns,ns,43.178568840026855,4840.936588541666,13271.93466091156,8779.081439668991,,Goianésia,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,46214.302983706606,2006.854475949983,2010.0,0.0009343118050541,0.1047497479351445,0.2871824046678954,0.1899645969509517,,0.1256741778143669,0.6843612252346812,0.1899645969509517,0.5206405539382241,pre_renovabio_1985_2015,25,300,923.8293733596802,3073.3834867477417,15281.958865636938,,0.0199901180741682,0.0665028635795134,0.3306759569872723,,0.9379125321626904,5.456982466989957,650.6954089194194,10.741066255637717,2.40865893884029,frontier_2002_2008,2006–2015,25,27559.107431053955,9070.718274487625,0.3291368669025406,5051.96327695183,0.1833137480809415,0.0,0.0,12982.997359583787,0.4710964385208782,6.991387866217456,0.0002536870210222,430.4779447228431,0.015620170058112,15.959187441653452,0.0005790894165052,0.9838007405253828,grid_intersection_approximation,1987-2015,7.425535714285715,0.3049237362535894,0.0003809517667704739,0.039196837947167516,False
delta_vol_pct,C1_developed_diversified,ns,59,02635522004930,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5504657.33191542,8326472.95099455,61.7,70.36,68.98,61.7,t0_2022,7.280000000000001,100.0,100.0,82.41,100.0,t0_2022,-17.590000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200112/2020-69,48610.219328/2022-60,48610.224504/2024-47,True,True,True,5208608,ns,0.3173291287955521,0.296,-1.6709130584328424,1,C1_developed_diversified × ns,ns,0.0,1658.712428077997,4013.458980216232,20765.26532663457,,Goianésia,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,39107.255925720805,2011.156982510065,2015.0,0.0,0.042414441740134,0.1026269648742238,0.5309824183541673,,0.0528596348654093,0.4161579467804235,0.5309824183541673,0.8305459733876022,pre_renovabio_1985_2015,25,300,408.48284074371935,546.2277373370002,11715.10861271129,,0.0104451931252752,0.0139674268727647,0.2995635550334349,,0.9472814889289642,5.649484508161268,588.6142070192508,10.574088872680063,6.711165498922355,frontier_2009_2015,2006–2015,25,36982.0175642577,14190.93314507325,0.3837252286308054,4995.414967965978,0.135076864297256,0.0,0.0,17259.97429728627,0.4667126196480868,6.697167923275844,0.0001810925515796,506.87038316569794,0.0137058607547571,22.127602843232435,0.0005983341175149,0.985695805127728,grid_intersection_approximation,1987-2015,7.425535714285715,-1.2548849421716324,0.006024282744034088,0.03694289480063306,False
delta_vol_pct,C2_extensive_vulnerable_frontier,HL,5,02678100000105,LASA LAGO AZUL S.A. - Ipameri - GO,Ipameri,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5670837.07069855,8080207.95905736,51.23,51.23,50.63,51.23,t0_2022,-0.5999999999999943,100.0,100.0,100.0,100.0,t0_2022,0.0,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219877/2020-72,48610.219877/2020-72,48610.219798/2024-95,True,True,True,5210109,HL,-0.1477700967997353,0.012,0.1645106372222309,2,C2_extensive_vulnerable_frontier × HL,sig,0.0,0.0,34.18915557861328,3324.745364189148,,Ipameri,LASA LAGO AZUL S.A. - Ipameri - GO,GO,4657.8725299835205,2013.513899048038,2015.0,0.0,0.0,0.0073400796948675,0.7137905433837433,,0.0,0.2862094566162567,0.7137905433837433,0.9908245932644936,pre_renovabio_1985_2015,25,300,0.0,8.54871940612793,1290.3892908096311,,0.0,0.0018353270406389,0.2770340498807503,,0.9963623358823394,4.079813169138951,910.202941771558,8.446528751490483,9.068082036895248,frontier_2009_2015,2006–2015,25,6561.021526176158,25.254372702907624,0.0038491525446383,6412.792918574957,0.9774076937547268,0.0,0.0,118.58116180837258,0.0180735821907115,0.0,0.0,1.098116008923244,0.0001673696701865,3.2949570809969533,0.0005022018397365,0.9993304284900768,grid_intersection_approximation,1987-2015,7.425535714285715,1.1350489861991087,0.01143566817717836,0.08162884257038584,False
