model,term,coef,std_err,p_value,ci_low,ci_high,n,r2
Original HC3,Intercept,-18.748298565429685,15.970296112664293,0.2404158198699775,-50.04950376869173,12.552906637832358,221,0.3419950045913538
Original HC3,C(uf_x)[T.MG],0.9104789579806417,2.4649647403700174,0.7118534883015883,-3.9207631563057177,5.741721072267001,221,0.3419950045913538
Original HC3,C(uf_x)[T.MS],1.356090058387931,2.2926266101268524,0.5541850407097149,-3.137375527458852,5.849555644234714,221,0.3419950045913538
Original HC3,C(uf_x)[T.MT],-2.168727413740818,4.6188936679573125,0.6386880198507978,-11.221592651357257,6.884137823875621,221,0.3419950045913538
Original HC3,C(uf_x)[T.PR],4.640540908438292,3.140801974206878,0.1395411473094935,-1.5153178435794885,10.796399660456073,221,0.3419950045913538
Original HC3,C(uf_x)[T.SP],1.5918310853887543,2.5184081942982948,0.5273357360694919,-3.3441582738064546,6.527820444583963,221,0.3419950045913538
Original HC3,frontier_year_c,-0.13540486190690365,0.08940406945724855,0.12989227428455494,-0.31063361811442824,0.03982389430062097,221,0.3419950045913538
Original HC3,vol_pct_first_c,-0.5083485152372353,0.1629576740905849,0.0018115052188441118,-0.8277396874591976,-0.18895734301527306,221,0.3419950045913538
Original HC3,log_cane_area,0.5433631008821617,1.263785091185698,0.6672327606969595,-1.9336101620404746,3.0203363638047978,221,0.3419950045913538
Original HC3,share_cane_slope_le12,10.496324198213328,10.945291483598906,0.3375684262090637,-10.956052909933502,31.948701306360157,221,0.3419950045913538
Sem influentes HC3,Intercept,-10.994192422548856,9.78664648504708,0.2612731257301798,-30.175667062666644,8.187282217568931,200,0.31678181527777527
Sem influentes HC3,C(uf_x)[T.MG],1.1427588958550308,1.8550069022425106,0.5378679623270628,-2.492987823613503,4.7785056153235645,200,0.31678181527777527
Sem influentes HC3,C(uf_x)[T.MS],-0.8435433408465492,1.9150680279469574,0.6595916967413853,-4.597007703566732,2.909921021873633,200,0.31678181527777527
Sem influentes HC3,C(uf_x)[T.PR],5.451856031826624,1.718754743749219,0.0015140332438646623,2.0831586358207854,8.820553427832463,200,0.31678181527777527
