slope_bin,slope_label,segment,annual_log2_slope
00_03,0–3%,1987–2001,-0.0076948790978518
00_03,0–3%,2002–2008,0.0419018039709366
00_03,0–3%,2009–2019,0.0050569534446163
00_03,0–3%,2020–2023,-0.1392987555848223
03_06,>3–6%,1987–2001,0.0020380411742423
03_06,>3–6%,2002–2008,0.0038394478603361
03_06,>3–6%,2009–2019,0.0007126468176501
03_06,>3–6%,2020–2023,0.0240480226270607
06_09,>6–9%,1987–2001,0.0035928146692093
06_09,>6–9%,2002–2008,-0.0565823259905639
06_09,>6–9%,2009–2019,-0.0102520150570445
06_09,>6–9%,2020–2023,0.1516628263462064
09_12,>9–12%,1987–2001,-0.0004603405544086
09_12,>9–12%,2002–2008,-0.100688040134798
09_12,>9–12%,2009–2019,-0.0076492020328037
09_12,>9–12%,2020–2023,0.2205203645645227
12_20,>12–20%,1987–2001,-0.0002682307650741
12_20,>12–20%,2002–2008,-0.1074454773352453
12_20,>12–20%,2009–2019,0.0291509606529124
12_20,>12–20%,2020–2023,0.1546996998147017
gt_20,>20%,1987–2001,0.0012624199347021
gt_20,>20%,2002–2008,-0.1743604135360142
gt_20,>20%,2009–2019,0.1643805586327843
gt_20,>20%,2020–2023,0.0687630397546992
