outcome,overlay_cluster,overlay_lisa_class,cell_count,cnpj_clean,emissor_x,cidade_x,uf_x,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026,cd_ibge,lisa_class,local_I,p_value,outcome_value,cluster,overlay_cell,lisa_sig,area_1985,area_1995,area_2005,area_2015,area_2024,cidade_y,emissor_y,uf_y,cane_area_total_ha,mean_first_key_year,dominant_first_key_year,share_1985,share_1995,share_2005,share_2015,share_2024,share_old_le_1995,share_mid_2000_2010,share_recent_ge_2015,share_recent_ge_2010,schema,buffer_km,scale_m,area_1990,area_2000,area_2010,area_2020,share_1990,share_2000,share_2010,share_2020,_log_scale,share_cane_slope_le12,neea_residual,neea_fitted,residual_z,local_i,local_p_raw,local_q,local_p_fdr,local_significant_fdr,lisa_residual_class
delta_neea,C2_extensive_vulnerable_frontier,ns,61,00297598000122,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,SÃO JOSÉ DO RIO CLARO,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4726601.98423902,8470976.23214683,47.19,47.19,39.17,47.19,t0_2022,-8.019999999999996,67.56,67.56,66.16,67.56,t0_2022,-1.4000000000000057,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.207920/2019-13,48610.207920/2019-13,48610.222034/2024-87,True,True,True,5107305,ns,-0.0196033870211337,0.48,-2.012934260403457,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,17.378527641296387,972.475887298584,556.0166015625,,SÃO JOSÉ DO RIO CLARO,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,MT,2058.324789047241,2007.679178252734,2005.0,0.0,0.0084430444280567,0.4724598821688992,0.2701306443575745,,0.0675695390174757,0.6622998166249497,0.2701306443575745,0.459970578813625,pre_renovabio_1985_2015,25,300,121.70152950286864,0.0,390.7522430419922,,0.0591264945894189,0.0,0.1898399344560504,,7.6301334357473785,0.998282206858356,-7.200488441680463,-0.8195115583195332,-1.8562633810585638,-0.9031353020740123,0.076,2,0.4989130434782609,False,NS
delta_neea,C0_agroindustrial_intensive,ns,61,00372496000124,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,Patrocínio Paulista,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683831.09458151,7690204.52935748,55.7,54.14,55.51,55.7,t0_2022,-0.1900000000000048,94.63,92.14,90.31,94.63,t0_2022,-4.319999999999993,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.214877/2019-42,48610.233075/2022-37,48610.226779/2025-04,True,True,True,3536307,ns,0.1311575368378788,0.156,-0.3298811919807864,0,C0_agroindustrial_intensive × ns,ns,8959.314504017551,19052.48549935958,14135.240089068697,8249.939681412192,,Patrocínio Paulista,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,SP,93095.24370100732,2000.6586870488024,1995.0,0.0962381551176991,0.2046558421453858,0.1518363294097671,0.0886182725715655,,0.3785278943939148,0.5328538330345196,0.0886182725715655,0.2699604547696059,pre_renovabio_1985_2015,25,300,7227.346572853537,18588.82270929673,16882.09464499904,,0.0776338971308298,0.199675321426712,0.1813421821980403,,11.441389115523243,0.8161035857570388,-2.1194433570416145,1.9294433570416096,-0.5463858630936393,-0.013893826319500525,0.479,2,0.5,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,00595322000120,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,Jandaia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5409973.4560416,8087852.68291427,64.3,67.46,68.08,64.3,t0_2022,3.780000000000001,87.16,88.4,85.61,87.16,t0_2022,-1.5499999999999972,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.213994/2019-99,48610.218118/2022-54,"48610.229099/2025-34,",True,True,True,5211701,ns,0.2500142294785901,0.114,0.5234675540777092,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,649.5710363388062,4461.641447067261,8251.34350757973,,Jandaia,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,GO,27669.054227469947,2009.307117108954,2010.0,0.0,0.02347644523729,0.1612502332167799,0.2982155963750927,,0.0596161000391177,0.6421683035857897,0.2982155963750927,0.748856673519925,pre_renovabio_1985_2015,25,300,999.950068473816,837.735767364502,12468.812400645837,,0.0361396548018277,0.0302769932241773,0.4506410771448323,,10.228106032571965,0.993112319539944,3.2268079965621794,0.5531920034378217,0.8318610008530347,-0.3489430226201986,0.123,4,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,01105558000102,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,João Pinheiro,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5846982.93235041,7966338.47292695,68.5,62.85,68.5,68.5,t0_2022,0.0,92.11,94.26,92.11,92.11,t0_2022,0.0,valido,valido,cancelado,sem_motivo,sem_motivo,renovacao,48610.222095/2019-87,48610.233070/2022-12,48610.222095/2019-87,True,True,True,3136306,ns,0.0832339521894571,0.229,-0.2890408237815124,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,8.510758399963379,493.2095947265625,8138.22642326355,,João Pinheiro,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,MG,13994.5511413462,2012.7162284756796,2015.0,0.0,0.0006081480080356,0.0352429734791135,0.5815282205957694,,0.0006081480080356,0.417863631396195,0.5815282205957694,0.963541324534515,pre_renovabio_1985_2015,25,300,0.0,8.502445220947266,5346.101919735179,,0.0,0.0006075539783356,0.3820131039387457,,9.546494782477897,0.9861190248729692,1.0593914918736154,-1.0593914918736154,0.2731078104629788,0.028937323416304086,0.379,1,0.4989130434782609,False,NS
delta_neea,C1_developed_diversified,ns,72,02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True,5218805,ns,0.2764334108241019,0.284,1.4692445018503475,1,C1_developed_diversified × ns,ns,0.0,0.0,64.36835129681755,4752.449861836901,,Rio Verde,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,7042.845325436312,2013.2797818061824,2015.0,0.0,0.0,0.0091395378320096,0.6747911734867585,,0.0024238186045568,0.3227850079086846,0.6747911734867585,0.9884366435634334,pre_renovabio_1985_2015,25,300,17.070579528808594,0.0,2208.9565327737846,,0.0024238186045568,0.0,0.3136454700766749,,8.859909511032635,0.9878208838452712,2.2773187201141134,5.902681279885886,0.5870856375073844,-0.0903446079081107,0.302,4,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,02414858000470,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,Itapaci,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5479817.78534701,8338262.39698919,62.3,50.36,60.63,62.3,t0_2022,-1.6699999999999946,98.44,79.67,78.35,98.44,t0_2022,-20.090000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219055/2019-58,48610.215953/2023-13,48610.200582/2024-56,True,True,True,5210901,ns,0.0976913164591933,0.338,-0.64800616532249,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,1883.87789925594,4885.573584773494,12049.976265178007,,Itapaci,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,GO,33798.265414784,2009.7757647989208,2010.0,0.0,0.0557388929915881,0.1445510154091059,0.3565264701397108,,0.0712373750422162,0.572236154818073,0.3565264701397108,0.7704056656641093,pre_renovabio_1985_2015,25,300,523.8218098733939,466.6169557122623,13988.398899990903,,0.015498482050628,0.0138059438845685,0.4138791955243985,,10.428194347944524,0.961042194527336,-3.0822241066943015,1.4122241066943069,-0.7945877266260329,-0.058255357513621035,0.427,2,0.4989130434782609,False,NS
delta_neea,C1_developed_diversified,ns,72,02460988000105,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2023,5526539.61558435,8311157.15201518,,62.1,63.03,62.1,t1_2023,0.9299999999999996,,97.98,99.91,97.98,t1_2023,1.9299999999999928,,valido,valido,,sem_motivo,sem_motivo,,48610.224772/2021-16,48610.229566/2024-45,False,True,True,5208608,ns,0.0217408816018103,0.263,-0.0891379689113866,1,C1_developed_diversified × ns,ns,43.178568840026855,4731.037157817916,11102.55818900688,6536.584688986984,,Goianésia,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,36906.42047459845,2006.2560237836008,2005.0,0.0011699473502109,0.1281900844617034,0.3008299923491206,0.1771123995480925,,0.1536903707140469,0.6691972297378607,0.1771123995480925,0.4768114845698035,pre_renovabio_1985_2015,25,300,897.9457178115845,2534.2957044713635,11060.820447663698,,0.0243303389021325,0.0686681523670289,0.299699085021711,,10.51616790668394,0.921961226427374,0.11676389126916209,0.8132361087308375,0.03010136567116766,-0.0008961458691072922,0.465,4,0.5,False,NS
delta_neea,C1_developed_diversified,ns,72,02635522000195,JALLES MACHADO S.A. - Matriz - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5538381.62495406,8311260.58537639,70.1,72.26,67.67,70.1,t0_2022,-2.4299999999999926,100.0,99.88,95.23,100.0,t0_2022,-4.769999999999996,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200111/2020-14,48610.219326/2022-71,48610.224191/2025-16,True,True,True,5208608,ns,0.1002281290588528,0.359,-0.8113676381195817,1,C1_developed_diversified × ns,ns,43.178568840026855,4840.936588541666,13271.93466091156,8779.081439668991,,Goianésia,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,46214.302983706606,2006.854475949983,2010.0,0.0009343118050541,0.1047497479351445,0.2871824046678954,0.1899645969509517,,0.1256741778143669,0.6843612252346812,0.1899645969509517,0.5206405539382241,pre_renovabio_1985_2015,25,300,923.8293733596802,3073.3834867477417,15281.958865636938,,0.0199901180741682,0.0665028635795134,0.3306759569872723,,10.741066255637717,0.9379125321626904,-0.8564458100723336,-1.573554189927659,-0.22078904896155221,-0.00035113507872640433,0.497,2,0.5,False,NS
delta_neea,C1_developed_diversified,ns,72,02635522004930,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5504657.33191542,8326472.95099455,61.7,70.36,68.98,61.7,t0_2022,7.280000000000001,100.0,100.0,82.41,100.0,t0_2022,-17.590000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200112/2020-69,48610.219328/2022-60,48610.224504/2024-47,True,True,True,5208608,ns,-0.6013940509295077,0.112,1.2757901261695808,1,C1_developed_diversified × ns,ns,0.0,1658.712428077997,4013.458980216232,20765.26532663457,,Goianésia,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,39107.255925720805,2011.156982510065,2015.0,0.0,0.042414441740134,0.1026269648742238,0.5309824183541673,,0.0528596348654093,0.4161579467804235,0.5309824183541673,0.8305459733876022,pre_renovabio_1985_2015,25,300,408.48284074371935,546.2277373370002,11715.10861271129,,0.0104451931252752,0.0139674268727647,0.2995635550334349,,10.574088872680063,0.9472814889289642,5.329349134344664,1.9506508656553372,1.3738895247297176,-0.2716790382535487,0.262,4,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,02678100000105,LASA LAGO AZUL S.A. - Ipameri - GO,Ipameri,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5670837.07069855,8080207.95905736,51.23,51.23,50.63,51.23,t0_2022,-0.5999999999999943,100.0,100.0,100.0,100.0,t0_2022,0.0,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219877/2020-72,48610.219877/2020-72,48610.219798/2024-95,True,True,True,5210109,ns,0.0047644699995584,0.449,-0.4180104075686892,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,0.0,34.18915557861328,3324.745364189148,,Ipameri,LASA LAGO AZUL S.A. - Ipameri - GO,GO,4657.8725299835205,2013.513899048038,2015.0,0.0,0.0,0.0073400796948675,0.7137905433837433,,0.0,0.2862094566162567,0.7137905433837433,0.9908245932644936,pre_renovabio_1985_2015,25,300,0.0,8.54871940612793,1290.3892908096311,,0.0,0.0018353270406389,0.2770340498807503,,8.446528751490483,0.9963623358823394,-4.15752821170528,3.5575282117052858,-1.0717977589454746,-0.0629869162182785,0.447,2,0.4989130434782609,False,NS
