cnpj_clean,cane_area_total_ha,mean_first_key_year,first_entry_year,last_entry_year,n_entry_years,schema,buffer_km,frontier_source_method,frontier_year_window,frontier_area_definition,cane_area_total_ha_approx_from_origin
00297598000122,3254.881337109313,2005.798407879311,1989.0,2015.0,25.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,3254.881337109313
00372496000124,123262.82824607738,1999.7276840096897,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,123262.82824607738
00595322000120,29930.707014326952,2009.7189257233592,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,29930.707014326952
01105558000102,9667.562911109766,2011.134287960192,1988.0,2015.0,27.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,9667.562911109766
02043917000107,17343.611923570363,2011.246835054265,1988.0,2015.0,28.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,17343.611923570363
02414858000470,38025.259501033644,2006.6456482481017,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,38025.259501033644
02460988000105,41421.08270931086,2006.14849311692,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,41421.08270931086
02635522000195,36867.94693049579,2006.4122297814845,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,36867.94693049579
02635522004930,49876.11996821725,2006.335085811783,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,49876.11996821725
02678100000105,8181.685019159753,2012.3554773345925,1999.0,2015.0,15.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,8181.685019159753
02773950000184,62186.79185383333,2009.4736232051807,1987.0,2015.0,29.0,pre_renovabio_1985_2015,30,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,62186.79185383333
