analytic_sample,variable,n,mean,std,min,p25,median,p75,max
delta_neea,delta_neea,228,1.3446929824561402,4.662495729236519,-16.659999999999997,-0.8475000000000055,1.0950000000000024,3.745000000000001,15.010000000000003
delta_neea,neea_first,228,59.24372807017543,6.13602747523426,28.74,55.575,60.1,63.5,71.6
delta_neea,mean_first_key_year,225,2004.4040283041033,7.9316479231938475,1986.0401547989024,1998.991656124566,2006.801951652957,2010.8600717012048,2014.721793243025
delta_neea,cane_area_total_ha,228,74723.56438999306,45914.56325353286,0.0,36565.32127490885,72244.86607756335,106816.02900822677,171036.9946094027
delta_neea,share_cane_slope_le12,227,0.9298417180325774,0.07883017563765521,0.2165372198019379,0.9025846657876725,0.9514112257249318,0.9814037705015882,1.0
delta_vol_pct,delta_vol_pct,224,-1.5766071428571424,9.60508213326025,-40.26,-3.765000000000004,-0.8099999999999952,1.4250000000000007,69.44
delta_vol_pct,vol_pct_first,224,92.57446428571428,10.640248432590234,16.01,90.7775,95.62,98.1175,100.0
delta_vol_pct,mean_first_key_year,221,2004.4883620748708,7.907259931964647,1986.0401547989024,1999.405923776831,2006.854475949983,2010.882590934352,2014.721793243025
delta_vol_pct,cane_area_total_ha,224,74085.35429604705,45909.911041791245,0.0,35746.228792172784,70769.99267608419,106398.15191955378,171036.9946094027
delta_vol_pct,share_cane_slope_le12,223,0.9302092717494296,0.07938440408099619,0.2165372198019379,0.9056962110744321,0.9515913189040006,0.9820590564693568,1.0
