period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_period,exposure_total_period,selected_share,available_share,selection_ratio,log2_selection_ratio
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,973701.1830077948,301549937.74146485,353,1145,3141582.3794306526,871440842.195266,0.3099397263567088,0.3460360395569981,0.8956862607533583,-0.1589346185410866
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,1381350.672937844,265408512.80250373,345,1141,3141582.3794306526,871440842.195266,0.4396990134596392,0.3045628572260938,1.4437053075491293,0.5297762860436841
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,601401.0690486385,124434315.8674982,308,1116,3141582.3794306526,871440842.195266,0.1914325318942074,0.1427914665487022,1.340644063130447,0.4229262569903472
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,140540.41260224325,59919116.77456068,254,1081,3141582.3794306526,871440842.195266,0.0447355490412806,0.068758673995147,0.65061680864349,-0.6201200000930714
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,41174.80524755085,70120116.76484814,202,1044,3141582.3794306526,871440842.195266,0.0131063904346869,0.0804645747245527,0.1628839831634338,-2.6180833482784163
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,3414.2365865810243,50008842.24439039,103,901,3141582.3794306526,871440842.195266,0.0010867888134767,0.057386387948506,0.0189380940729704,-5.722565044281647
post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,203208.77975803544,175382559.72874284,361,1146,582923.444459545,485166469.03351927,0.348602859757064,0.3614894493391421,0.964351408856782,-0.0523691357422938
post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,255133.3254636549,143599670.98591295,365,1143,582923.444459545,485166469.03351927,0.4376789574833463,0.2959802050458518,1.4787440174100264,0.5643723318311019
post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,94251.49521322812,67099351.93323365,325,1120,582923.444459545,485166469.03351927,0.1616876042798604,0.1383017092399225,1.169093319008579,0.2253900928272447
post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,21589.854796356314,32991681.76800632,282,1086,582923.444459545,485166469.03351927,0.0370372044589375,0.0680007458753852,0.5446587972256965,-0.8765753617029445
post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,7484.259077808903,38821552.11839955,220,1048,582923.444459545,485166469.03351927,0.01283918008264,0.0800169727222378,0.1604557089057661,-2.639752974239181
post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,1255.730150461197,27271652.499223966,90,893,582923.444459545,485166469.03351927,0.0021541939381515,0.0562109177774604,0.0383234080375642,-4.7056303265015975
pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,782360.4960192278,524131383.3838568,342,1142,2853480.497414589,1654441552.2425346,0.274177621584619,0.316802598842743,0.8654525644239348,-0.2084733474454017
pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,1201938.1897308107,503654764.5528102,339,1141,2853480.497414589,1654441552.2425346,0.4212182949278374,0.3044258431916949,1.3836482819975278,0.4684772621185546
pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,633752.0830276265,249652692.72655776,293,1104,2853480.497414589,1654441552.2425346,0.2220979199268545,0.1508984662457025,1.471836828117395,0.5576177391161804
pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,176157.40330345303,122989243.1006825,231,1080,2853480.497414589,1654441552.2425346,0.0617342236833443,0.0743388262546809,0.8304438850278066,-0.2680454095741939
pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,53918.50922029626,146585453.51016483,195,1039,2853480.497414589,1654441552.2425346,0.0188956992238599,0.0886011677544447,0.2132669320592785,-2.229267807842177
