earlier_period,later_period,contrast,slope_bin,slope_label,selection_ratio_earlier,selection_ratio_later,ratio_of_selection_ratios,log2_difference,log2_ci_low,log2_boot_median,log2_ci_high,ratio_of_ratios_ci_low,ratio_of_ratios_ci_high,bootstrap_sign_p,difference_supported,p_fdr_bh,direction
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,00_03,0–3%,0.8654525644239347,0.8956862607533582,1.034933972781683,0.049538728904315,-0.0633862290284895,0.0466856196752917,0.1716583931014683,0.9570152179443072,1.1263524948295685,0.404,False,0.4545,diferença não conclusiva
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,03_06,>3–6%,1.3836482819975289,1.4437053075491275,1.043404835125366,0.0612990239251265,0.0186473320283513,0.0611917489884691,0.1023273554130115,1.0130092389606022,1.0735038426666692,0.0093333333333333,True,0.014,seleção mais forte no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,06_09,>6–9%,1.4718368281173944,1.3406440631304477,0.9108645996073128,-0.1346914821258319,-0.2517448460683714,-0.1314673107223092,-0.0259766157902055,0.8398800203418093,0.9821555145975696,0.0213333333333333,True,0.0255999999999999,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,09_12,>9–12%,0.8304438850278071,0.6506168086434909,0.7834566794620991,-0.3520745905188763,-0.5313235065364642,-0.3472157278798643,-0.1816020363874929,0.6919196861886856,0.8817233454178468,0.0,True,0.0,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,12_20,>12–20%,0.213266932059278,0.162883983163434,0.7637563948177399,-0.3888155404362339,-0.5974960799822853,-0.3871258945276836,-0.1684491336238593,0.6609000087704003,0.8897986818254985,0.0013333333333333,True,0.0024,seleção mais fraca no período posterior
pre_law_1987_2001,post_law_pre_zae_2002_2008,Pós-Lei versus pré-Lei,gt_20,>20%,0.028894981444485,0.0189380940729705,0.6554111865188654,-0.6095277979640229,-0.9715936412264942,-0.6095423698283398,-0.2533393109200083,0.5099424549475488,0.838952298690265,0.0,True,0.0,seleção mais fraca no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,00_03,0–3%,0.8956862607533582,1.059770973739796,1.183194406541892,0.2426871373388778,0.1447185913158663,0.2418061613629549,0.3479883271841203,1.1055149931467536,1.2727846371599816,0.0,True,0.0,seleção mais forte no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,03_06,>3–6%,1.4437053075491275,1.4286526819879304,0.9895736162480756,-0.0151210588166922,-0.0602906415364506,-0.0146698666821833,0.0298796276101752,0.959070887971354,1.0209269403152204,0.544,False,0.544,diferença não conclusiva
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,06_09,>6–9%,1.3406440631304477,1.0774221674510476,0.8036601191036731,-0.3153426036278431,-0.4296615476378317,-0.3126120946273261,-0.2062119907597013,0.7424359383528086,0.8668101843766401,0.0,True,0.0,seleção mais fraca no período posterior
post_law_pre_zae_2002_2008,zae_2009_2019,ZAE versus pós-Lei/pré-ZAE,09_12,>9–12%,0.6506168086434909,0.4713953928953135,0.724536142676906,-0.4648704360780066,-0.6399021365384643,-0.460097678098636,-0.2946535244199694,0.6417564800744402,0.8152681025165827,0.0,True,0.0,seleção mais fraca no período posterior
