contrast,contrast_en,origin_code,origin_label,origin_label_en,difference_pp,difference_pp_ci_low,difference_pp_ci_high,ratio_of_shares,ratio_ci_low,ratio_ci_high,difference_supported
Pós-Lei versus pré-Lei,Post-law versus pre-law,1,Pastagem,Pasture,7.7097211123525815,5.257549037947032,10.134830449962566,1.3972287154084766,1.257445622207906,1.5437185375495113,True
Pós-Lei versus pré-Lei,Post-law versus pre-law,2,Agricultura anual,Annual agriculture,4.5592956452083815,0.8915759466377086,8.625754348689117,1.1962918472777377,1.0338427839696496,1.3944246378067786,True
Pós-Lei versus pré-Lei,Post-law versus pre-law,3,Agricultura perene,Perennial agriculture,-0.1001412555554846,-0.2990475522049569,0.07957411900647599,0.8264939540441002,0.5336657916667595,1.1776902909049403,False
Pós-Lei versus pré-Lei,Post-law versus pre-law,4,Mosaico agropecuário,Agricultural mosaic,-11.245119844880492,-14.641890570784641,-7.672135411124197,0.7950788801497195,0.7439660071667155,0.8515843744819245,True
Pós-Lei versus pré-Lei,Post-law versus pre-law,5,Silvicultura,Forestry,-0.012431717619054188,-0.04321708827838775,0.021257955946581614,0.8360248530985785,0.4617368207705472,1.4865649037555124,False
Pós-Lei versus pré-Lei,Post-law versus pre-law,6,Vegetação nativa,Native vegetation,-0.7227314824270071,-0.9276229318084884,-0.5154283304234615,0.3698059514454557,0.2656170024376724,0.49567057772516826,True
Pós-Lei versus pré-Lei,Post-law versus pre-law,7,Outros usos,Other uses,-0.18859245707892752,-0.23300586651759597,-0.1464810710612034,0.1310093032530764,0.08827973194488306,0.18708949563852892,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,1,Pastagem,Pasture,-3.5885537653505124,-5.754523955092137,-1.2002166417308913,0.8662613678577618,0.798033907462244,0.9511357189622477,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,2,Agricultura anual,Annual agriculture,-8.845033264574694,-11.739423395623726,-5.954927959752432,0.6902137087942962,0.6120615706432808,0.7717838237125876,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,3,Agricultura perene,Perennial agriculture,0.14523204625437747,-0.14064481065077966,0.5223477507149422,1.243894986436777,0.7784661130737223,1.8616077342257207,False
Pós-revogação versus ZAE,Post-revocation versus ZAE,4,Mosaico agropecuário,Agricultural mosaic,11.412886534061906,9.138459176475568,13.724433652159357,1.2611727683574145,1.2032081818484994,1.3256381798386492,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,5,Silvicultura,Forestry,0.4259198758760958,0.23674127898741426,0.6915983936201033,6.178977518596543,3.080201520656915,10.85580235648613,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,6,Vegetação nativa,Native vegetation,0.40171486991015526,0.29132105404951336,0.5384253582201727,2.1508340936131036,1.768016138791339,2.542086554635722,True
Pós-revogação versus ZAE,Post-revocation versus ZAE,7,Outros usos,Other uses,0.04783370382267384,-0.006829159811862255,0.1092361988318922,2.100486908303099,0.9175960790673271,4.130840540326472,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,1,Pastagem,Pasture,-0.6798364501535007,-3.7437777025138987,2.35429578148877,0.9779346692344443,0.8757118912563937,1.0953359854547087,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,2,Agricultura anual,Annual agriculture,0.15445397570537264,-4.019376373819879,4.455437173586874,1.0092069688112302,0.8694736745226517,1.1734004121133959,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,3,Agricultura perene,Perennial agriculture,0.18766054365398038,0.003958795031636275,0.40892410962788855,1.4479321342229599,1.0084269512459234,1.9932448952635649,True
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,4,Mosaico agropecuário,Agricultural mosaic,0.3390975887726617,-2.506670428298686,3.0278238292112767,1.0085457513762395,0.9436251811370403,1.0725267071109432,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,5,Silvicultura,Forestry,0.042640313319217735,-0.0107825556704556,0.11624208690891918,1.9675402112395468,0.7895854757928461,4.032760890269,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,6,Vegetação nativa,Native vegetation,-0.07052445487764979,-0.19856666467748468,0.03505214008276544,0.8512719718458125,0.6429525472737372,1.1168248878987408,False
ZAE versus pós-Lei/pré-ZAE,ZAE versus post-law/pre-ZAE,7,Outros usos,Other uses,0.026508483579917648,0.0006262741612895412,0.06542354260092353,1.9297252058194312,1.0254484783887923,3.196636190077132,True
