outcome,model,term,coef,std_err_hc3,p_value,ci_low,ci_high,n,r2,r2_adj,aic,bic,buffer_km,effect_per_decade,ci_low_per_decade,ci_high_per_decade
delta_neea,M1 — fronteira,frontier_year_c,0.08504153377189333,0.035338974088137506,0.016108334551667526,0.01577841730854962,0.15430465023523704,225,0.021238744913042673,0.01684968098888595,1326.1841468418634,1333.0163476462722,25,0.8504153377189333,0.1577841730854962,1.5430465023523703
delta_neea,M2 — + nível inicial,frontier_year_c,0.07697597162735267,0.03307805504572573,0.019959895695610807,0.012144175059096832,0.14180776819560853,225,0.21335316837038187,0.20626625997732229,1279.019767712592,1289.2680689192052,25,0.7697597162735268,0.12144175059096832,1.4180776819560852
delta_neea,M3 — + escala e UF,frontier_year_c,0.1679974585396078,0.049477852841044265,0.000685265960183831,0.07102264893878824,0.26497226814042735,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25,1.679974585396078,0.7102264893878824,2.6497226814042736
delta_neea,M4 — + topografia,frontier_year_c,0.15494871874612665,0.05236460355384838,0.003086035890076482,0.0523159817158657,0.2575814557763876,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25,1.5494871874612666,0.523159817158657,2.575814557763876
delta_neea,M5 — + uso anterior,frontier_year_c,0.1509613556419313,0.07057891632136701,0.0324436400613891,0.012629221584185779,0.28929348969967683,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25,1.5096135564193132,0.1262922158418578,2.8929348969967683
delta_vol_pct,M1 — fronteira,frontier_year_c,-0.1629686479355311,0.06596141856390669,0.013486163228953284,-0.29225065268996,-0.03368664318110223,221,0.017771387848031672,0.013286325692086653,1628.9564254379118,1635.7527508409473,25,-1.629686479355311,-2.9225065268995998,-0.3368664318110223
delta_vol_pct,M2 — + nível inicial,frontier_year_c,-0.19032017107958596,0.05767559515688594,0.0009674035276901388,-0.30336226037399516,-0.07727808178517676,221,0.32093665512835123,0.3147067161845747,1549.3831885369111,1559.5776766414644,25,-1.9032017107958596,-3.0336226037399516,-0.7727808178517676
delta_vol_pct,M3 — + escala e UF,frontier_year_c,-0.1123087703557559,0.09400682800214782,0.23220919783931526,-0.2965587675408171,0.07194122682930529,221,0.33860359475833157,0.31364523984355164,1555.5573966713891,1586.140860985049,25,-1.123087703557559,-2.9655876754081714,0.7194122682930528
delta_vol_pct,M4 — + topografia,frontier_year_c,-0.13540486190690365,0.08940406945724855,0.12989227428455494,-0.31063361811442824,0.03982389430062097,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25,-1.3540486190690366,-3.1063361811442824,0.3982389430062097
delta_vol_pct,M5 — + uso anterior,frontier_year_c,0.0536066904629452,0.16378755905021614,0.7434455064736007,-0.26741102639120584,0.37462440731709623,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25,0.5360669046294521,-2.674110263912058,3.7462440731709625
