period,period,origin_code,previous_land_use,area_ha,share_of_total_expansion,share_of_mapped_classes,period_entry_total_ha,mapped_origin_area_ha,unclassified_gap_ha
pre_law_1987_2001,"Pre-law period, 1987–2001",1,Pasture,561987.3116405718,0.19344063009215298,0.19520397477726506,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",2,Annual agriculture,683353.7955411443,0.23521596670831332,0.23736012238311138,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",3,Perennial agriculture,15423.50384517908,0.005308896197906248,0.00535729044626002,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",4,Agricultural mosaic,1577242.070202511,0.5428996234401801,0.5478485277375168,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",5,Forestry,1797.5809447921959,0.0006187420665907193,0.0006243823270368224,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",6,Native vegetation,32932.241275150634,0.011335546854278912,0.011438878177635382,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",7,Other uses,6238.231987365554,0.0021472504828877683,0.0021668241511745225,2905218.5746750683,2878974.7354367147,26243.83923835354
pre_law_1987_2001,"Pre-law period, 1987–2001",99,Unclassified / no data,26243.83923835354,0.009033344157690014,,2905218.5746750683,2878974.7354367147,26243.83923835354
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",1,Pasture,852008.1290749045,0.26902556006597017,0.2729893259340615,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",2,Annual agriculture,883613.8263533618,0.2790052071156346,0.2831160109987806,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",3,Perennial agriculture,13669.942268971368,0.004316348341620327,0.004379944507825173,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",4,Agricultural mosaic,1356090.8577116749,0.42819204423829116,0.4345009355180781,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",5,Forestry,1552.5359414102984,0.0004902205001423572,0.0004974433056104565,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",6,Native vegetation,13212.830933546085,0.004172013295006612,0.004233482859072998,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",7,Other uses,882.8050597906113,0.00027874983528280615,0.00028285687657122175,3167015.5388431344,3121030.9273436596,45984.61149947485
post_law_pre_zae_2002_2008,"Post-law / pre-ZAE, 2002–2008",99,Unclassified / no data,45984.61149947485,0.014519856608051999,,3167015.5388431344,3121030.9273436596,45984.61149947485
zae_2009_2019,"ZAE-Cana period, 2009–2019",1,Pasture,1265012.1099343877,0.26274537351535127,0.266011601933289,4814593.280975422,4755477.207537852,59116.07343756966
zae_2009_2019,"ZAE-Cana period, 2009–2019",2,Annual agriculture,1353523.2284097075,0.28112929782834906,0.2846240596557278,4814593.280975422,4755477.207537852,59116.07343756966
zae_2009_2019,"ZAE-Cana period, 2009–2019",3,Perennial agriculture,29760.05359459835,0.006181218611381657,0.006258058296951993,4814593.280975422,4755477.207537852,59116.07343756966
