outcome,schema,comparison,r2_reduced,r2_full,delta_r2,f_statistic,p_value,df_diff,delta_aic,delta_bic,n
delta_neea,10y_1985_2024,LISA after K-means,0.41599435805271967,0.42852862109038115,0.012534263037661475,1.2008491179756835,0.31138258975630934,4.0,3.096649236247231,16.778789233336283,226
delta_neea,10y_1985_2024,K-means after LISA,0.03164580260630867,0.42852862109038115,0.3968828184840725,76.04697317812507,8.320450374462903e-26,2.0,-115.18867674376679,-108.34760674522227,226
delta_neea,10y_1985_2024,Interaction after additive,0.42852862109038115,0.4493522703304359,0.020823649240054753,1.1453040797038794,0.3360062942204615,7.0,5.611077584764416,29.554822579670372,226
delta_neea,5y_1985_2024,LISA after K-means,0.42785513061049973,0.4402970119295292,0.012441881319029457,1.21706157861551,0.30445407303842464,4.0,3.0311723861627797,16.713312383251832,226
delta_neea,5y_1985_2024,K-means after LISA,0.031862014661402926,0.4402970119295292,0.40843499726812627,79.90600935514175,8.734338052079298e-27,2.0,-119.84084921805584,-112.99977921951131,226
delta_neea,5y_1985_2024,Interaction after additive,0.4402970119295292,0.45942002245856317,0.01912301052903398,1.0713567968222346,0.38296759117243157,7.0,6.143410828377455,30.08715582328341,226
delta_neea,pre_renovabio_1985_2015,LISA after K-means,0.41607496378269737,0.43075799925654334,0.014683035473845973,1.4057736995504138,0.2330305437080629,4.0,2.26993414049889,15.934335749316688,225
delta_neea,pre_renovabio_1985_2015,K-means after LISA,0.030112792974662073,0.43075799925654334,0.40064520628188127,76.71662918001408,5.953219504445829e-26,2.0,-115.89667941811331,-109.06447861370452,225
delta_neea,pre_renovabio_1985_2015,Interaction after additive,0.43075799925654334,0.4487205314447842,0.017962532188240843,0.9821552815908751,0.4451823752454156,7.0,6.785651852804222,30.698354668235197,225
delta_vol_pct,10y_1985_2024,LISA after K-means,0.411208444902892,0.4205481990527721,0.009339754149880086,0.8663564160736339,0.4849493087076078,4.0,4.450277954988678,18.060987482477685,222
delta_vol_pct,10y_1985_2024,K-means after LISA,0.025042539309445333,0.4205481990527721,0.39550565974332674,73.3742795395673,5.109782043732057e-25,2.0,-111.50912062813609,-104.70376586439147,222
delta_vol_pct,10y_1985_2024,Interaction after additive,0.4205481990527721,0.43059928753383525,0.010051088481063175,0.7413859992838316,0.5932554850224223,5.0,6.11543074585461,23.128817655215926,222
delta_vol_pct,5y_1985_2024,LISA after K-means,0.4231716029762318,0.43006509709335194,0.006893494117120147,0.650118648472909,0.6273801019906851,4.0,5.330967728452833,18.94167725594184,222
delta_vol_pct,5y_1985_2024,K-means after LISA,0.02100837996363092,0.43006509709335194,0.409056717129721,77.15547313768856,5.526816789210092e-26,2.0,-116.10220732501148,-109.29685256126686,222
delta_vol_pct,5y_1985_2024,Interaction after additive,0.43006509709335194,0.43939100785879226,0.009325910765440315,0.6986834989079752,0.6250036341665135,5.0,6.337339644769827,23.350726554131143,222
delta_vol_pct,pre_renovabio_1985_2015,LISA after K-means,0.41113918389241655,0.4192408574898414,0.008101673597424863,0.7463326975599808,0.5614289460197,4.0,4.938324302309411,18.53097510838029,221
delta_vol_pct,pre_renovabio_1985_2015,K-means after LISA,0.02169359629560852,0.4192408574898414,0.3975472611942329,73.2447478380228,5.844724130467179e-25,2.0,-111.24858347862664,-104.45225807559109,221
delta_vol_pct,pre_renovabio_1985_2015,Interaction after additive,0.4192408574898414,0.42916257770678556,0.009921720216944152,0.7265254324115428,0.6042403535348991,5.0,6.191801032910462,23.182614540499344,221
