outcome,overlay_cluster,overlay_lisa_class,cell_count,cnpj_clean,emissor_x,cidade_x,uf_x,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026,cd_ibge,lisa_class,local_I,p_value,outcome_value,cluster,overlay_cell,lisa_sig,area_1985,area_1995,area_2005,area_2015,area_2024,cidade_y,emissor_y,uf_y,cane_area_total_ha,mean_first_key_year,dominant_first_key_year,share_1985,share_1995,share_2005,share_2015,share_2024,share_old_le_1995,share_mid_2000_2010,share_recent_ge_2015,share_recent_ge_2010,schema,buffer_km,scale_m,area_1990,area_2000,area_2010,area_2020,share_1990,share_2000,share_2010,share_2020
delta_neea,C0_agroindustrial_intensive,HH,1,08110543000173,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,Valparaíso,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5327944.83619462,7667998.52699712,63.5,62.85,64.97,63.5,t0_2022,1.4699999999999989,97.88,99.49,58.06,97.88,t0_2022,-39.81999999999999,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.208909/2019-71,48610.217665/2022-12,48610.226235/2025-34,True,True,True,3556305,HH,0.0233917038527704,0.017,0.0269346564970734,0,C0_agroindustrial_intensive × HH,sig,559.5782165527344,29071.46074346655,19476.858155474947,46268.92709606395,9019.057061139276,Valparaíso,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,SP,104395.88127269746,2008.181592791855,2015.0,0.00536015606871533,0.2784732538204989,0.18656730436135233,0.44320644197832554,0.08639284377110786,0.28383340988921424,0.18656730436135233,0.5295992857494334,0.5295992857494334,10y_1985_2024,25,300,,,,,,,,
delta_neea,C0_agroindustrial_intensive,HH,1,08110543000173,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,Valparaíso,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5327944.83619462,7667998.52699712,63.5,62.85,64.97,63.5,t0_2022,1.4699999999999989,97.88,99.49,58.06,97.88,t0_2022,-39.81999999999999,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.208909/2019-71,48610.217665/2022-12,48610.226235/2025-34,True,True,True,3556305,HH,0.0233917038527704,0.017,0.0269346564970734,0,C0_agroindustrial_intensive × HH,sig,559.5782165527344,15360.690835836824,13214.972945089903,14013.529835132524,2019.570311161116,Valparaíso,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,SP,108981.13855728075,2005.214850461748,2010.0,0.005134633606884357,0.14094815891250032,0.12125926669543906,0.1285867446481758,0.01853137467544097,0.28921290841873026,0.49867890488611866,0.2121081866951511,0.5269341943517613,5y_1985_2024,25,300,15598.482992546233,6821.525122036654,34310.096761860565,7082.691537064197,0.14313011589934557,0.06259363053406937,0.3148260076566102,0.06499006737153437
delta_neea,C0_agroindustrial_intensive,HH,1,08110543000173,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,Valparaíso,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5327944.83619462,7667998.52699712,63.5,62.85,64.97,63.5,t0_2022,1.4699999999999989,97.88,99.49,58.06,97.88,t0_2022,-39.81999999999999,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.208909/2019-71,48610.217665/2022-12,48610.226235/2025-34,True,True,True,3556305,HH,0.0233917038527704,0.017,0.0269346564970734,0,C0_agroindustrial_intensive × HH,sig,559.5782165527344,15360.690835836824,13214.972945089903,14013.529835132524,,Valparaíso,DA MATA S.A. - AÇÚCAR E ÁLCOOL - Valparaíso/SP,SP,99878.87670905543,2003.7865546247563,2010.0,0.00560256818048496,0.15379318772859366,0.13230998766220384,0.14030524067619995,,0.3155697489144686,0.5441250104093315,0.14030524067619995,0.4838222874468098,pre_renovabio_1985_2015,25,300,15598.482992546233,6821.525122036654,34310.096761860565,,0.15617399300539,0.06829797597651782,0.3435170467706098,
delta_neea,C0_agroindustrial_intensive,LL,3,44209336003583,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,Araras,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683432.51600593,7504007.27659347,63.0,60.85,62.29,63.0,t0_2022,-0.7100000000000009,95.79,89.34,91.61,95.79,t0_2022,-4.180000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.220755/2019-95,48610.214855/2022-88,48610.226435/2025-97,True,True,True,3503307,LL,0.3260670814388031,0.038,-0.4416548312630065,0,C0_agroindustrial_intensive × LL,sig,61564.52124494665,19536.66705566481,10049.443053555957,9796.618558603173,5213.590837957346,Araras,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,SP,106160.84075072793,1993.4172669013087,1985.0,0.5799174235017963,0.18402894059155092,0.09466242903211981,0.09228090592845083,0.049110300946082104,0.7639463640933472,0.09466242903211981,0.14139120687453294,0.14139120687453294,10y_1985_2024,25,300,,,,,,,,
delta_neea,C0_agroindustrial_intensive,LL,3,44209336003583,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,Araras,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683432.51600593,7504007.27659347,63.0,60.85,62.29,63.0,t0_2022,-0.7100000000000009,95.79,89.34,91.61,95.79,t0_2022,-4.180000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.220755/2019-95,48610.214855/2022-88,48610.226435/2025-97,True,True,True,3503307,LL,0.3260670814388031,0.038,-0.4416548312630065,0,C0_agroindustrial_intensive × LL,sig,61564.52124494665,6585.651115417481,4455.447149882597,5877.190688709184,877.1830917470595,Araras,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,SP,111267.25361444813,1992.3532427199802,1985.0,0.5533031439624969,0.05918768461956834,0.04004275296774337,0.05282048848868169,0.007883569183675408,0.7598711596671738,0.13717594093049496,0.10295289940233095,0.14253570202142768,5y_1985_2024,25,300,16398.60467662811,6403.473321641661,4404.2697377896775,4700.912587685679,0.1473803310851086,0.057550385343654836,0.03958280261909673,0.04224884172997384
delta_neea,C0_agroindustrial_intensive,LL,3,44209336003583,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,Araras,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683432.51600593,7504007.27659347,63.0,60.85,62.29,63.0,t0_2022,-0.7100000000000009,95.79,89.34,91.61,95.79,t0_2022,-4.180000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.220755/2019-95,48610.214855/2022-88,48610.226435/2025-97,True,True,True,3503307,LL,0.3260670814388031,0.038,-0.4416548312630065,0,C0_agroindustrial_intensive × LL,sig,61564.52124494665,6585.651115417481,4455.447149882597,5877.190688709184,,Araras,USJ AÇÚCAR E ÁLCOOL S.A.- Araras - SP,SP,105689.15793501538,1990.860894850221,1985.0,0.5825055516366263,0.06231151088805884,0.04215614200107544,0.05560826487351584,,0.7999758791623486,0.14441585596413536,0.05560826487351584,0.09728018112151653,pre_renovabio_1985_2015,25,300,16398.60467662811,6403.473321641661,4404.2697377896775,,0.1551588166376635,0.06058779771505925,0.04167191624800068,
delta_neea,C0_agroindustrial_intensive,LL,3,07670089000142,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,Campos de Julio,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4435217.90773278,8416022.37972843,63.47,63.47,63.55,63.47,t0_2022,0.0799999999999983,35.08,35.08,68.91,35.08,t0_2022,33.83,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219881/2020-31,48610.219881/2020-31,48610.227294/2024-49,True,True,True,5102686,LL,0.2626378027554899,0.009,-0.2718448792765557,0,C0_agroindustrial_intensive × LL,sig,0.0,0.0,43.359663009643555,832.4231433868408,1873.2032833099365,Campos de Julio,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,MT,2748.986089706421,2020.975014926848,2024.0,0.0,0.0,0.015772965593388713,0.3028109696530839,0.6814160647535273,0.0,0.015772965593388713,0.9842270344066113,0.9842270344066113,10y_1985_2024,25,300,,,,,,,,
delta_neea,C0_agroindustrial_intensive,LL,3,07670089000142,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,Campos de Julio,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4435217.90773278,8416022.37972843,63.47,63.47,63.55,63.47,t0_2022,0.0799999999999983,35.08,35.08,68.91,35.08,t0_2022,33.83,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219881/2020-31,48610.219881/2020-31,48610.227294/2024-49,True,True,True,5102686,LL,0.2626378027554899,0.009,-0.2718448792765557,0,C0_agroindustrial_intensive × LL,sig,0.0,0.0,43.359663009643555,745.7165203094482,581.067403793335,Campos de Julio,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,MT,3156.597734451294,2018.3875156424408,2020.0,0.0,0.0,0.013736201650407853,0.23624059289235816,0.18408028284742495,0.0,0.10989215162351162,0.8901078483764884,0.9862637983495921,5y_1985_2024,25,300,0.0,0.0,303.5256538391113,1482.9284934997559,0.0,0.0,0.09615594997310377,0.46978697263670527
delta_neea,C0_agroindustrial_intensive,LL,3,07670089000142,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,Campos de Julio,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4435217.90773278,8416022.37972843,63.47,63.47,63.55,63.47,t0_2022,0.0799999999999983,35.08,35.08,68.91,35.08,t0_2022,33.83,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219881/2020-31,48610.219881/2020-31,48610.227294/2024-49,True,True,True,5102686,LL,0.2626378027554899,0.009,-0.2718448792765557,0,C0_agroindustrial_intensive × LL,sig,0.0,0.0,43.359663009643555,745.7165203094482,,Campos de Julio,USIMAT DESTILARIA DE ÁLCOOL LTDA. - Campos de Julio - MT,MT,1092.6018371582031,2013.214148253341,2015.0,0.0,0.0,0.03968477951896881,0.6825144301871353,,0.0,0.3174855698128647,0.6825144301871353,0.9603152204810312,pre_renovabio_1985_2015,25,300,0.0,0.0,303.5256538391113,,0.0,0.0,0.27780079029389587,
delta_neea,C0_agroindustrial_intensive,LL,3,44207249000148,USINA SANTA LÚCIA S.A. - Araras - SP,Araras,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5678798.29682681,7514155.29728828,48.72,48.72,49.36,48.72,t0_2022,0.6400000000000006,85.28,85.28,97.0,85.28,t0_2022,11.72,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.204999/2021-45,48610.204999/2021-45,48610.215834/2024-41,True,True,True,3503307,LL,0.1471570174862738,0.01,-0.1514732677418557,0,C0_agroindustrial_intensive × LL,sig,65298.26430629656,20609.66065422133,10908.616343045702,11569.7500868442,4446.0954533670465,Araras,USINA SANTA LÚCIA S.A. - Araras - SP,SP,112832.38684377485,1993.3731203878356,1985.0,0.5787191615179341,0.18265731347823916,0.09667983323041392,0.10253926563534824,0.0394044261380645,0.7613764749961733,0.09667983323041392,0.14194369177341273,0.14194369177341273,10y_1985_2024,25,300,,,,,,,,
