model,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2
Original ΔVOL%,Intercept,-8.36261569268779,11.435137711302744,0.4645906177101091,-30.77507376509695,14.049842379721369,222,0.32393453475603695,0.3146308815646063
Original ΔVOL%,vol_pct_first_c,-0.5082117298236187,0.16317747126971602,0.0018427419869035979,-0.8280336966005815,-0.18838976304665594,222,0.32393453475603695,0.3146308815646063
Original ΔVOL%,frontier_decade_c,-1.3247555359384637,0.7823898745280714,0.09041424289732164,-2.8582115118822955,0.20870044000536803,222,0.32393453475603695,0.3146308815646063
Original ΔVOL%,log_cane_area,0.6136369326795162,1.0455261957888804,0.55725955815799,-1.4355567559598623,2.662830621318895,222,0.32393453475603695,0.3146308815646063
Sem influentes ΔVOL%,Intercept,-10.506763379137498,9.326700262711881,0.25994325747690294,-28.786759988653046,7.7732332303780485,201,0.29498468312187276,0.28424840926078454
Sem influentes ΔVOL%,vol_pct_first_c,-0.5303807527825719,0.08250941816765815,1.2918853029155424e-10,-0.6920962407765368,-0.3686652647886071,201,0.29498468312187276,0.28424840926078454
Sem influentes ΔVOL%,frontier_decade_c,-1.0907837234173081,0.5277253442220375,0.038738540040002066,-2.1251063918215043,-0.05646105501311194,201,0.29498468312187276,0.28424840926078454
Sem influentes ΔVOL%,log_cane_area,0.902852209391579,0.8377348437944727,0.28115414044484144,-0.7390779130398755,2.5447823318230336,201,0.29498468312187276,0.28424840926078454
Trim 1-99 ΔVOL%,Intercept,-8.13351514536085,9.701829396576434,0.40183494505708117,-27.148751346802626,10.881721056080927,216,0.13581169960799266,0.12358261988546426
Trim 1-99 ΔVOL%,vol_pct_first_c,-0.2529025354222845,0.11002781277159146,0.021531483874243525,-0.46855308575231996,-0.037251985092249085,216,0.13581169960799266,0.12358261988546426
Trim 1-99 ΔVOL%,frontier_decade_c,-1.2366572571136922,0.660412054621571,0.061129993752249374,-2.5310410991280703,0.05772658490068605,216,0.13581169960799266,0.12358261988546426
Trim 1-99 ΔVOL%,log_cane_area,0.5967833663765543,0.8798208528249659,0.4975808632636425,-1.1276338180076944,2.321200550760803,216,0.13581169960799266,0.12358261988546426
Winsor ΔVOL%,Intercept,-5.510618043919155,9.281850358270528,0.5527139732420137,-23.702710456019588,12.681474368181277,222,0.22009557525815893,0.20936294555987667
Winsor ΔVOL%,vol_pct_first_c,-0.3291023153885242,0.07204300575233305,4.920785300033216e-06,-0.47030401200110894,-0.18790061877593947,222,0.22009557525815893,0.20936294555987667
Winsor ΔVOL%,frontier_decade_c,-1.488266885930962,0.6555882459943174,0.023200035131688123,-2.7731962367676095,-0.20333753509431451,222,0.22009557525815893,0.20936294555987667
Winsor ΔVOL%,log_cane_area,0.34121055136193656,0.8435070499219307,0.6858346624791982,-1.312032887190677,1.9944539899145501,222,0.22009557525815893,0.20936294555987667
RLM Huber ΔVOL%,Intercept,-5.167745156029844,5.296409768440107,0.32920958220702345,-15.54851754953858,5.213027237478893,222,,
RLM Huber ΔVOL%,vol_pct_first_c,-0.4524199164473394,0.030784788067465697,6.816306902806172e-49,-0.5127569923312706,-0.39208284056340825,222,,
RLM Huber ΔVOL%,frontier_decade_c,-0.7829456702538204,0.4744829190485605,0.09892187900485062,-1.712915102868433,0.14702376236079207,222,,
RLM Huber ΔVOL%,log_cane_area,0.4400588540489668,0.4802314356874331,0.35948468533171785,-0.5011774641423654,1.3812951722402989,222,,
